code,name,date,closePrice,chipProfitRate,chipAvgCost,chipConcentration90,chipConcentration70
000001.code,sz000001.name,sz000001.date,sz000001.closePrice,sz000001.chipProfitRate,sz000001.chipAvgCost,sz000001.chipConcentration90,sz000001.chipConcentration70
000001,平安银行,2026-06-17,10.78,41.94,10.88,6.84,4.06
000002,万  科Ａ,2026-06-17,3.09,1.69,4,24.55,19.54
000004,*ST国华,2026-06-17,2.76,0,3.74,44.58,28.36
000006,深振业Ａ,2026-06-17,7.74,1.39,9.41,16.56,13.15
000007,全新好,2026-06-17,13.64,62.10,13.08,17.05,8.42
000008,神州高铁,2026-06-17,2.50,3.38,2.76,14.43,9.36
000009,中国宝安,2026-06-17,6.99,3.82,9.11,24.02,16.85
000010,*ST美丽,2026-06-17,2,5.71,2.40,37.57,29.91
000011,深物业A,2026-06-17,7.44,10.25,8.54,17.99,12.77
000012,南  玻Ａ,2026-06-17,4.63,78.41,4.43,10.58,6.68
000014,沙河股份,2026-06-17,9.89,0,12.91,19.61,15.97
000016,*ST康佳A,2026-06-17,2.82,1.37,3.26,15.98,7.74
000017,深中华A,2026-06-17,5.16,8.33,6.51,23.97,19.21
000019,深粮控股,2026-06-17,6.22,0.05,7.26,12.14,10.01
000020,深华发Ａ,2026-06-17,11.87,7.88,14.23,20.47,13.12
000021,深科技,2026-06-17,42.91,95.38,38.52,10.35,6.25
000025,特  力Ａ,2026-06-17,15.87,42.54,16.10,14.19,10.01
000026,飞亚达,2026-06-17,21.32,43.60,21.59,21.05,13.22
000027,深圳能源,2026-06-17,7.37,66.16,7.15,11.15,7.69
000028,国药一致,2026-06-17,22.66,2.88,25.55,6.92,3.65
000029,深深房Ａ,2026-06-17,28.57,88.99,23.42,26.65,16.89
000030,富奥股份,2026-06-17,4.29,0.24,5.31,14.32,9.35
000031,大悦城,2026-06-17,2.37,0.80,3.01,20.12,14.37
000032,深桑达Ａ,2026-06-17,23.22,97.63,18.93,17.50,12.83
000034,神州数码,2026-06-17,26.69,54.56,26.53,13.92,10.93
000035,中国天楹,2026-06-17,5.10,7.81,6.66,22.83,13.80
000036,华联控股,2026-06-17,5.14,32.20,5.31,12.47,9.08
000037,深南电A,2026-06-17,11.52,72.28,11.35,7.90,3.11
000039,中集集团,2026-06-17,9.09,2.92,11.04,18.46,15.34
000042,中洲控股,2026-06-17,9.09,56.18,8.97,13.77,10.28
000045,深纺织Ａ,2026-06-17,11.20,10.60,12.14,12.44,8.57
000048,京基智农,2026-06-17,19.13,72.11,17.59,20.45,16.15
000049,德赛电池,2026-06-17,24.38,15.52,26.76,11.86,8.32
000050,深天马Ａ,2026-06-17,9.14,69.42,8.34,14.27,11.40
000055,方大集团,2026-06-17,3.82,66.01,3.75,10.06,6.55
000056,*ST皇庭,2026-06-17,1.68,38.75,1.71,17.33,9.73
000058,深 赛 格,2026-06-17,6.77,0.78,9.02,19.27,11.39
000059,华锦股份,2026-06-17,4.13,0.36,5.27,18.99,13.88
000060,中金岭南,2026-06-17,7.97,77.67,7.74,9.92,6.29
000061,农 产 品,2026-06-17,5.84,0,8.50,25.29,20.14
000062,深圳华强,2026-06-17,31.75,41.21,32.21,11.99,7.88
000063,中兴通讯,2026-06-17,37.64,53.33,37.56,5.99,3.85
000065,北方国际,2026-06-17,12.76,50.55,12.76,13.40,8.63
000066,中国长城,2026-06-17,17.81,39.78,18.38,21.07,13.61
000068,华控赛格,2026-06-17,3.43,48.70,3.43,11.25,7.42
000069,华侨城Ａ,2026-06-17,1.80,0.34,2.47,19.55,14.60
000070,特发信息,2026-06-17,20.66,96.05,18.97,8.23,5.68
000078,ST海王,2026-06-17,1.55,5.41,1.74,42.93,40.56
000088,盐 田 港,2026-06-17,4.33,4.24,4.53,3.64,2.12
000089,深圳机场,2026-06-17,6.39,1.48,7.02,5.61,3.54
000090,天健集团,2026-06-17,3.45,9.49,3.68,10.80,6.28
000096,广聚能源,2026-06-17,7.55,0.06,9.99,23.21,16.76
000099,中信海直,2026-06-17,16.56,18.56,17.65,16.40,12.26
000100,TCL科技,2026-06-17,5.12,100,4.62,8.34,6.19
000151,中成股份,2026-06-17,13.94,68.21,13.51,12.43,9.35
000153,丰原药业,2026-06-17,5.36,0.19,6.45,11.45,8.60
000155,川能动力,2026-06-17,13.34,11.62,15.94,16.38,12.87
000156,华数传媒,2026-06-17,6.71,4.78,7.92,16.56,9.25
000157,中联重科,2026-06-17,7.63,29.89,8.04,14.89,9.49
000158,常山北明,2026-06-17,14.51,2.99,17.37,18.40,14.55
000159,国际实业,2026-06-17,5.76,3.45,6.68,10.49,7.04
000166,申万宏源,2026-06-17,4.57,11.75,5.08,10.54,7.53
000301,东方盛虹,2026-06-17,12.27,67.62,11.20,22.48,17.28
000333,美的集团,2026-06-17,79.22,71.35,76.55,9.40,5.84
000338,潍柴动力,2026-06-17,29.28,52.79,29.05,21.22,14.71
000400,许继电气,2026-06-17,23.04,13.50,26.40,19.33,11.37
000401,金隅冀东,2026-06-17,3.74,0,4.75,13.43,8.25
000402,金 融 街,2026-06-17,2.71,4.88,2.98,10.60,7.40
000403,派林生物,2026-06-17,11.38,6.27,13,23.55,14.78
000404,长虹华意,2026-06-17,7.95,21.52,8.39,15.31,8.97
