code,end_date,holder_num,pre_holder_num,holder_change_pct,avg_holding
300188,2026-06-18,43669,43637,0.07,19681.6347981406
002041,2026-06-16,62569,63209,-1.01,14064.4728220045
002430,2026-06-12,57401,57401,0.0,17044.2809184509
300987,2026-06-11,15545,15834,-1.83,11152.6535863622
000858,2026-06-11,600000,600000,0.0,6469.346675
300699,2026-06-10,94639,95616,-1.02,8784.45461173512
300918,2026-06-10,26807,26793,0.05,18880.6814264931
300820,2026-06-10,15957,16168,-1.31,13928.2451588644
000713,2026-06-10,54313,54541,-0.42,14696.6559387255
002204,2026-06-10,70247,71113,-1.22,27493.9859638134
300124,2026-06-10,156802,152138,3.07,17267.662045127
300634,2026-06-10,45431,46941,-3.22,9931.78446435254
301399,2026-06-10,11302,12792,-11.65,16370.5538842683
301068,2026-06-10,5098,5440,-6.29,27719.8395449196
300896,2026-06-10,56361,57524,-2.02,5368.81994641685
000632,2026-06-10,36645,43915,-16.55,12703.4948833402
300407,2026-06-10,15591,16264,-4.14,22210.7120774806
001336,2026-06-10,8529,8116,5.09,9423.55493023801
001313,2026-06-10,21885,21486,1.86,31985.3781128627
300493,2026-06-10,64840,68944,-5.95,7904.39615977791
002039,2026-06-10,24269,27526,-11.83,17617.4595574601
300847,2026-06-10,22262,22536,-1.22,13296.6489982931
000737,2026-06-10,187140,185896,0.67,10178.0294699156
001286,2026-06-10,59963,63295,-5.26,62538.5654486934
003023,2026-06-10,10492,10651,-1.49,10040.1829965688
601918,2026-06-10,76000,76000,0.0,34086.0763157895
603327,2026-06-10,51263,51418,-0.3,20394.0339035952
603375,2026-06-10,11968,12871,-7.02,8411.31910093583
600064,2026-06-10,42581,42784,-0.47,40636.4257297856
603995,2026-06-10,19313,20541,-5.98,18931.198156682
600261,2026-06-10,40402,41498,-2.64,33044.2296420969
603929,2026-06-10,21558,26264,-17.92,9897.02198719733
603982,2026-06-10,26583,27025,-1.64,13735.4322311252
603980,2026-06-10,32184,32670,-1.49,21030.1193139448
600775,2026-06-10,112216,123095,-8.84,5987.01191452199
605389,2026-06-10,9544,9596,-0.54,19626.2773470243
600575,2026-06-10,58271,58401,-0.22,122990.718710851
605177,2026-06-10,10989,9879,11.24,10439.5636545637
605018,2026-06-10,26075,13397,94.63,18027.4513135187
000886,2026-06-10,70457,73500,-4.14,14034.4933789403
600727,2026-06-10,44798,41352,8.33,11799.2574445288
603706,2026-06-10,9952,9595,3.72,19029.6135450161
000563,2026-06-10,101959,102613,-0.64,50157.1254916192
600796,2026-06-10,25393,25876,-1.87,34126.9549088331
000403,2026-06-10,37683,38652,-2.51,25220.8525329724
002462,2026-06-10,25000,24000,4.17,11668.2848
601872,2026-06-10,124773,127381,-2.05,64713.8283282441
300856,2026-06-10,20100,20200,-0.5,23666.0309950249
000727,2026-06-10,143000,130000,10.0,31675.2935664336
600010,2026-06-10,839038,823467,1.89,53902.2463201905
300950,2026-06-10,14106,14279,-1.21,10892.102651354
000927,2026-06-10,71799,73737,-2.63,84267.9374503823
000962,2026-06-10,65187,63957,1.92,8091.49318115575
002483,2026-06-10,24774,24504,1.1,35782.2076774037
600794,2026-06-10,69170,69904,-1.05,17350.7612693364
605296,2026-06-10,18534,18646,-0.6,28313.6083953815
601086,2026-06-10,41605,41157,1.09,16007.6913832472
301102,2026-06-10,13333,13748,-3.02,30450.7612690317
301177,2026-06-10,10950,11904,-8.01,36554.7534246575
605166,2026-06-10,16376,15551,5.31,19219.1463116756
600448,2026-06-10,32591,33593,-2.98,19324.9566444724
002190,2026-06-10,87904,89701,-2.0,4080.92172142337
605099,2026-06-10,17521,17096,2.49,22975.4976314137
000852,2026-06-10,34591,34540,0.15,27630.6014859356
002161,2026-06-10,54998,54994,0.01,13450.6236590421
002500,2026-06-10,103943,104545,-0.58,34535.9624698152
002841,2026-06-10,27692,28023,-1.18,25134.2100606673
601699,2026-06-10,47000,49000,-4.08,63647.0042553192
688195,2026-06-10,27132,19971,35.86,6674.40660474716
603227,2026-06-10,33820,35178,-3.86,31688.1339148433
300523,2026-06-10,14037,14866,-5.58,16573.1736125953
300682,2026-06-10,45981,46025,-0.1,23449.5948543964
688291,2026-06-10,7966,7811,1.98,12888.1119758976
600671,2026-06-10,8662,9402,-7.87,14058.9800277072
300294,2026-06-10,31943,32756,-2.48,15785.8916820587
300956,2026-06-10,18042,14816,21.77,11940.3425340871
688399,2026-06-10,8994,8733,2.99,9325.29697576162
603062,2026-06-10,8100,8800,-7.95,13333.3333333333
300397,2026-06-10,53099,51528,3.05,9748.52153524549
300675,2026-06-10,12835,13195,-2.73,11427.0899883132
000423,2026-06-10,66236,66849,-0.92,9722.4594480343
301029,2026-06-10,35044,32112,9.13,18097.3265608949
601609,2026-06-10,88744,83413,6.39,19478.9303276841
300375,2026-06-10,25835,26497,-2.5,29407.3473195278
601168,2026-06-10,142500,147400,-3.32,16722.8070175439
300999,2026-06-10,112113,113523,-1.24,48358.2772381437
000768,2026-06-10,204061,205577,-0.74,13626.3672872327
002690,2026-06-10,31439,31346,0.3,28061.6081936448
600256,2026-06-10,168606,176007,-4.2,37910.8867062857
688449,2026-06-10,24650,23891,3.18,18661.2576064909
600076,2026-06-10,48654,50391,-3.45,27634.7960496568
600488,2026-06-10,83579,80693,3.58,13064.1271132701
301007,2026-06-10,12800,13400,-4.48,11979.6875
000960,2026-06-10,173730,150304,15.59,9471.2021642779
300777,2026-06-10,45471,45035,0.97,9670.06525037936
603325,2026-06-10,9846,9825,0.21,8125.53321145643
002552,2026-06-10,43112,61873,-30.32,8999.47418352199
002547,2026-06-10,91558,95005,-3.63,12320.6838069857
300941,2026-06-10,18350,18662,-1.67,11158.038147139
600785,2026-06-10,17756,18101,-1.91,12707.3259743185
002097,2026-06-10,131461,138864,-5.33,8174.41875537232
002243,2026-06-10,39285,42478,-7.52,30815.9404098256
603567,2026-06-10,28269,28994,-2.5,33282.3687785206
603289,2026-06-10,14758,15324,-3.69,19880.5731806478
688428,2026-06-10,20000,20000,0.0,13417.98585
002742,2026-06-10,13455,13778,-2.34,50843.7042735043
301682,2026-06-10,28031,25182,11.31,4336.24765438265
300839,2026-06-10,12188,13021,-6.4,24201.1466196259
300183,2026-06-10,29797,29935,-0.46,15525.3594992785
300248,2026-06-10,37660,37642,0.05,12648.6562134891
300667,2026-06-10,21089,19940,5.76,9703.44914410356
000572,2026-06-10,133889,138064,-3.02,12283.581369642
300359,2026-06-10,30677,30982,-0.98,20645.2202627376
300664,2026-06-10,30013,31538,-4.84,25197.6254289808
300597,2026-06-10,19463,19478,-0.08,14004.5229409649
301515,2026-06-10,7621,7722,-1.31,13121.63758037
300939,2026-06-10,16826,21923,-23.25,7131.81980268632
300266,2026-06-10,29000,29000,0.0,53579.5625517241
002659,2026-06-10,22139,22334,-0.87,27023.8214914856
301297,2026-06-10,33334,31984,4.22,22364.3414531709
002374,2026-06-10,47478,47839,-0.75,22857.0976662875
000686,2026-06-10,84266,85920,-1.93,27774.5818598248
002611,2026-06-10,121285,123036,-1.42,10036.5778125902
300385,2026-06-10,11937,12334,-3.22,27908.681578286
301125,2026-06-10,7646,7079,8.01,25937.0923358619
301185,2026-06-10,12277,12802,-4.1,12496.3427547446
300333,2026-06-10,40831,40472,0.89,8229.0416595234
001218,2026-06-10,12114,12762,-5.08,10746.1003797259
300586,2026-06-10,28538,26760,6.64,24921.741011984
300647,2026-06-10,30069,29259,2.77,15209.0533107187
301168,2026-06-10,7402,7805,-5.16,16211.8346392867
002912,2026-06-10,21110,20725,1.86,8088.67835149218
301230,2026-06-10,20521,20692,-0.83,6802.13464256128
000507,2026-06-10,64626,64818,-0.3,14231.6543651162
301065,2026-06-10,8864,8598,3.09,11960.7400722022
301049,2026-06-10,7089,6891,2.87,13295.7164621244
301252,2026-06-10,11307,11149,1.42,14966.4314141682
001335,2026-06-10,5970,5718,4.41,15701.7688442211
000151,2026-06-10,25415,25716,-1.17,13807.0543379894
002697,2026-06-10,59871,62896,-4.81,22715.5050024219
000650,2026-06-10,89600,90200,-0.67,15624.3106473214
000715,2026-06-10,20000,21000,-4.76,27021.7311
002448,2026-06-10,44999,45334,-0.74,13076.0604902331
300180,2026-06-10,74000,76000,-2.63,23798.1102027027
002379,2026-06-10,44779,47908,-6.53,291009.584894705
002090,2026-06-10,38833,39488,-1.66,10315.3779259908
000729,2026-06-10,71721,66712,7.51,39298.6620515609
