date,oid,time,Weightiness,Content,CountryName,CountryCode,Previous,Predict,CurrentValue,ColumnCode,Area,FinancialEvent,Flag
2026-06-17,17816256000003720,00:00,2,5月新屋价格指数(年率),加拿大,,-2.3%,,,9496,,,http://dldir1.qq.com/dlomg/istock/img/gzGSPTSE.png
2026-06-17,17816256000003721,00:00,2,6月Rightmove平均房屋要价指数(月率),英国,,1.2%,,,9528,,,http://dldir1.qq.com/dlomg/istock/img/gzFTSE.png
2026-06-17,17816256000003722,00:00,2,6月Rightmove平均房屋要价指数(年率),英国,,-0.3%,,,9529,,,http://dldir1.qq.com/dlomg/istock/img/gzFTSE.png
2026-06-17,17816367000003775,03:05,2,,欧元区,,,,,,,欧洲央行管委斯莱普恩发表讲话,http://dldir1.qq.com/dlomg/istock/img/EU.png
2026-06-17,17816418000003723,04:30,3,上周API原油库存变化(万桶)(至0612),美国,,-911.9,,-833,9424,,,http://dldir1.qq.com/dlomg/istock/img/US.png
2026-06-17,17816418000003724,04:30,2,上周API汽油库存变化(万桶)(至0612),美国,,-119.1,,247.9,9423,,,http://dldir1.qq.com/dlomg/istock/img/US.png
2026-06-17,17816418000003725,04:30,2,上周API精炼油库存变化(万桶)(至0612),美国,,131.6,,-46.1,9422,,,http://dldir1.qq.com/dlomg/istock/img/US.png
2026-06-17,17816418000003726,04:30,2,上周API库欣地区原油库存变化(万桶)(至0612),美国,,-112.5,,-152.3,9831,,,http://dldir1.qq.com/dlomg/istock/img/US.png
2026-06-17,17816499000003727,06:45,2,第一季度经常帐(十亿纽元),新西兰,,-5.984,-1.110,-1.008,9711,,,http://dldir1.qq.com/dlomg/istock/img/gzNZSE50FG.png
2026-06-17,17816499000003728,06:45,1,第一季度经常帐在GDP占比(年率),新西兰,,-3.70%,-3.70%,-3.60%,9894,,,http://dldir1.qq.com/dlomg/istock/img/gzNZSE50FG.png
2026-06-17,17816538000003729,07:50,2,4月核心机械订单(月率),日本,,-9.4%,0.9%,8.7%,9269,,,http://dldir1.qq.com/dlomg/istock/img/gzN225.png
