code,market,name,price,last_close,open,high,low,change_amt,change_pct,turn_over_pct,pe_ttm,pb,mcap_yi,float_mcap_yi,limit_up,limit_down,vol_ratio,pe_static,amplitude_pct,amount_wan,update_time
sz000001,sz,,10.52,10.74,10.74,10.77,10.52,-0.22,-2.05,,,,,,,,,,,151101.0,2026-06-18T18:00:00.000000
sz000002,sz,,3.06,3.12,3.12,3.16,3.05,-0.06,-1.92,,,,,,,,,,,50069.0,2026-06-18T18:00:00.000000
sz000004,sz,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,0.0,2026-06-18T18:00:00.000000
sz000006,sz,,8.21,7.75,7.75,8.51,7.72,0.46,5.94,,,,,,,,,,,50701.0,2026-06-18T18:00:00.000000
sz000007,sz,,13.68,13.6,13.6,14.0,13.35,0.08,0.59,,,,,,,,,,,10515.0,2026-06-18T18:00:00.000000
sz000008,sz,,2.45,2.5,2.5,2.5,2.44,-0.05,-2.0,,,,,,,,,,,5231.0,2026-06-18T18:00:00.000000
sz000009,sz,,6.84,6.97,6.97,6.97,6.8,-0.13,-1.87,,,,,,,,,,,17242.0,2026-06-18T18:00:00.000000
sz000010,sz,,1.9,1.98,1.98,2.02,1.9,-0.08,-4.04,,,,,,,,,,,5306.0,2026-06-18T18:00:00.000000
sz000011,sz,,7.33,7.4,7.4,7.9,7.32,-0.07,-0.95,,,,,,,,,,,7053.0,2026-06-18T18:00:00.000000
sz000012,sz,,4.3,4.46,4.46,4.49,4.26,-0.16,-3.59,,,,,,,,,,,46064.0,2026-06-18T18:00:00.000000
sz000014,sz,,9.93,9.86,9.86,10.28,9.66,0.07,0.71,,,,,,,,,,,6538.0,2026-06-18T18:00:00.000000
sz000016,sz,,2.68,2.82,2.82,2.83,2.68,-0.14,-4.96,,,,,,,,,,,8071.0,2026-06-18T18:00:00.000000
sz000017,sz,,5.15,5.16,5.16,5.23,5.01,-0.01,-0.19,,,,,,,,,,,3272.0,2026-06-18T18:00:00.000000
sz000019,sz,,6.16,6.19,6.19,6.21,6.06,-0.03,-0.48,,,,,,,,,,,3718.0,2026-06-18T18:00:00.000000
sz000020,sz,,11.54,11.86,11.86,11.86,11.47,-0.32,-2.7,,,,,,,,,,,3939.0,2026-06-18T18:00:00.000000
sz000021,sz,,44.04,42.85,42.85,46.18,42.31,1.19,2.78,,,,,,,,,,,823641.0,2026-06-18T18:00:00.000000
