code,market,name,date,rz,rzmre,rzche,rqye,rqmcl,rqchl
sh600418,,江淮汽车,2026-06-19,7383352414.0,9194334.0,187834843.0,254175469.0,7392546748.0,0
sh603395,,红四方,2026-06-19,105420258.0,417060.9,2235684.0,2434101.0,105837318.9,0
sh688387,,信科移动-U,2026-06-19,1199182777.0,13600702.48,185697011.0,169982099.0,1212783479.48,0
sz300938,,信测标准,2026-06-19,1172914931.0,531861.0,139502980.0,149313139.0,1173446792.0,0
sz301616,,浙江华业,2026-06-19,35772644.0,214161.0,1461876.0,1122370.0,35986805.0,0
sh601155,,新城控股,2026-06-22,730706602.0,2602084.0,20157588.0,14248219.0,733308686.0,0
sh688191,,智洋创新,2026-06-22,510179250.0,0.0,44638767.0,25579205.0,510179250.0,0
sz000600,,建投能源,2026-06-22,344021076.0,2244189.0,40051308.0,54288428.0,346265265.0,0
sz000869,,张  裕Ａ,2026-06-22,200847298.0,595119.0,1700531.0,2241466.0,201442417.0,0
sz002483,,润邦股份,2026-06-22,209334708.0,74166.0,4711086.0,5484176.0,209408874.0,0
sz301386,,未来电器,2026-06-22,86791737.0,271954.0,10150578.0,4076853.0,87063691.0,0
sz301629,,矽电股份,2026-06-22,234024227.0,496470.0,83842510.0,103604131.0,234520697.0,0
sh600988,,赤峰黄金,2026-06-23,1322310165.0,15702376.0,137506788.0,156175516.0,1338012541.0,0
sh688390,,固德威,2026-06-23,652934914.0,5426319.68,127296816.0,105636387.0,658361233.68,0
sz002033,,丽江股份,2026-06-23,173339242.0,261324.0,11216913.0,18368547.0,173600566.0,0
sz002635,,安洁科技,2026-06-23,341429368.0,560422.0,52814544.0,39318967.0,341989790.0,0
sz300927,,江天化学,2026-06-23,106100557.0,314600.0,13343706.0,20205238.0,106415157.0,0
sz301363,,美好医疗,2026-06-23,281614776.0,1927966.0,32117520.0,25641423.0,283542742.0,0
sz301618,,长联科技,2026-06-23,117153671.0,355499.0,11192161.0,10614329.0,117509170.0,0
sh600653,,申华控股,2026-06-24,97099906.00,460242.00,4021645.00,6083343.00,97560148.00,0
sh601818,,光大银行,2026-06-24,1599415330.00,2557664.00,208755523.00,243540093.00,1601972994.00,0
sh688020,,方邦股份,2026-06-24,386864959.00,920736.10,55568328.00,133749106.00,387785695.10,0
sz000410,,沈阳机床,2026-06-24,413094074.00,209990.00,12411598.00,11096346.00,413304064.00,0
sz002455,,百川股份,2026-06-24,310080565.00,41150.00,44473177.00,43789688.00,310121715.00,0
sz300741,,华宝股份,2026-06-24,97085588.00,44086.00,3560519.00,2763341.00,97129674.00,0
sz301029,,怡合达,2026-06-24,578325938.00,2574840.00,88050943.00,82760157.00,580900778.00,0
sz301630,,同宇新材,2026-06-24,363515636.00,0.00,81520694.00,110748435.00,363515636.00,0
