type,name,changePct,turnoverRate,changePct5d,changePct20d,leadStock
industry,玻璃玻纤,8.04,7.83,32.52,45.09,长海股份(13.73)
industry,电子化学品Ⅱ,6.69,9.80,17.26,17.89,国瓷材料(16.42)
industry,光学光电子,5.38,6.88,10.41,13.97,长信科技(19.98)
industry,半导体,5.37,6.62,13.69,6.43,盛美上海(20.00)
industry,其他电子Ⅱ,4.73,6.57,16.77,8.13,香农芯创(20.00)
industry,综合Ⅱ,4.23,2.59,1.88,-8.71,东阳光(9.99)
industry,name,changePct,turnoverRate,changePct5d,changePct20d,leadStock
industry,陶瓷基板,7.45,7.79,19.66,27.89,科翔股份(20.00)
industry,电子布,6.16,6.21,28.94,43.54,长海股份(13.73)
industry,SRAM(静态随机存取存储器),5.88,5.68,14.19,-0.75,西测测试(17.19)
industry,中国建材集团,5.77,3.63,13.02,12.72,凯盛新能(10.05)
industry,高带宽存储器HBM,5.72,10.01,17.24,14.37,香农芯创(20.00)
industry,国家大基金持股,5.60,9.64,14.62,16.40,西安奕材-U(15.96)
