code,market,name,price,last_close,open,high,low,change_amt,change_pct,turnover_pct,pe_ttm,pb,mcap_yi,float_mcap_yi,limit_up,limit_down,vol_ratio,pe_static,amplitude_pct,amount_wan,update_time
sh600000,,浦发银行,8.9,,9.26,9.27,8.9,,,,,,,,,,,,,,
sh600004,,白云机场,7.48,,7.55,7.61,7.48,,,,,,,,,,,,,,
sh600006,,东风股份,5.43,,5.6,5.62,5.4,,,,,,,,,,,,,,
sh600007,,中国国贸,19.09,,19.08,19.56,18.97,,,,,,,,,,,,,,
sh600008,,首创环保,2.91,,2.99,2.99,2.89,,,,,,,,,,,,,,
sh600009,,上海机场,22.54,,22.96,23.17,22.46,,,,,,,,,,,,,,
sh600010,,包钢股份,2.33,,2.33,2.35,2.3,,,,,,,,,,,,,,
sh600011,,华能国际,7.44,,7.79,7.82,7.4,,,,,,,,,,,,,,
sh600012,,皖通高速,15.52,,15.85,16.14,15.5,,,,,,,,,,,,,,
sh600015,,华夏银行,6.66,,6.82,6.85,6.65,,,,,,,,,,,,,,
sh600016,,民生银行,3.41,,3.48,3.49,3.4,,,,,,,,,,,,,,
sh600017,,日照港,2.59,,2.67,2.67,2.58,,,,,,,,,,,,,,
sh600018,,上港集团,4.85,,4.95,4.98,4.84,,,,,,,,,,,,,,
sh600019,,宝钢股份,5.67,,5.79,5.79,5.62,,,,,,,,,,,,,,
sh600020,,中原高速,3.81,,3.9,3.92,3.79,,,,,,,,,,,,,,
sh600021,,上海电力,16.05,,16.2,16.27,15.79,,,,,,,,,,,,,,
sh600022,,山东钢铁,1.27,,1.3,1.3,1.27,,,,,,,,,,,,,,
sh600023,,浙能电力,5.4,,5.5,5.53,5.38,,,,,,,,,,,,,,
sh600025,,华能水电,9.14,,9.39,9.39,9.13,,,,,,,,,,,,,,
sh600026,,中远海能,22.83,,21.41,22.83,21.22,,,,,,,,,,,,,,
sh600027,,华电国际,4.68,,4.77,4.78,4.65,,,,,,,,,,,,,,
sh600028,,中国石化,4.66,,4.74,4.75,4.65,,,,,,,,,,,,,,
sh600029,,南方航空,5.25,,5.16,5.4,5.13,,,,,,,,,,,,,,
sh600030,,中信证券,27.89,,28.18,28.8,27.7,,,,,,,,,,,,,,
sh600031,,三一重工,17.62,,18.15,18.18,17.53,,,,,,,,,,,,,,
sh600032,,浙江新能,7.3,,7.45,7.45,7.18,,,,,,,,,,,,,,
sh600033,,福建高速,3.4,,3.49,3.49,3.39,,,,,,,,,,,,,,
sh600035,,楚天高速,3.67,,3.75,3.75,3.64,,,,,,,,,,,,,,
sh600036,,招商银行,36.76,,37.49,37.58,36.75,,,,,,,,,,,,,,
sh600037,,歌华有线,6.5,,6.69,6.71,6.45,,,,,,,,,,,,,,
sh600038,,中直股份,25.75,,26.35,26.35,25.58,,,,,,,,,,,,,,
sh600039,,四川路桥,8.08,,8.1,8.15,8.01,,,,,,,,,,,,,,
sh600048,,保利发展,4.76,,4.92,4.94,4.74,,,,,,,,,,,,,,
sh600050,,中国联通,4.18,,4.27,4.29,4.18,,,,,,,,,,,,,,
sh600051,,宁波联合,5.94,,6.16,6.23,5.87,,,,,,,,,,,,,,
sh600052,,东望时代,3.51,,3.76,3.76,3.48,,,,,,,,,,,,,,
sh600053,,*ST九鼎,7.93,,8.24,8.24,7.85,,,,,,,,,,,,,,
sh600054,,黄山旅游,10.89,,11.1,11.1,10.77,,,,,,,,,,,,,,
sh600055,,万东医疗,10.91,,11.32,11.45,10.91,,,,,,,,,,,,,,
sh600056,,中国医药,9.1,,9.24,9.39,9.07,,,,,,,,,,,,,,
sh600057,,厦门象屿,5.67,,5.81,5.81,5.63,,,,,,,,,,,,,,
sh600058,,五矿发展,10.7,,10.8,10.94,10.6,,,,,,,,,,,,,,
sh600059,,XD古越龙,7.55,,7.72,7.77,7.54,,,,,,,,,,,,,,
sh600060,,海信视像,24.33,,25.38,25.53,24.17,,,,,,,,,,,,,,
sh600061,,国投资本,6.54,,6.67,6.79,6.51,,,,,,,,,,,,,,
sh600062,,华润双鹤,16.46,,16.75,16.9,16.44,,,,,,,,,,,,,,
sh600063,,皖维高新,8.01,,8.1,8.27,7.91,,,,,,,,,,,,,,
sh600064,,南京高科,7.33,,7.52,7.53,7.33,,,,,,,,,,,,,,
sh600066,,宇通客车,26.65,,26.73,27.25,26.27,,,,,,,,,,,,,,
sh600067,,冠城新材,3.16,,3.34,3.36,3.13,,,,,,,,,,,,,,
sh600071,,凤凰光学,17.39,,17.98,18.08,16.96,,,,,,,,,,,,,,
sh600072,,中船科技,8.9,,9.35,9.35,8.89,,,,,,,,,,,,,,
sh600073,,光明肉业,4.76,,4.96,4.96,4.75,,,,,,,,,,,,,,
sh600075,,新疆天业,4.24,,4.47,4.48,4.22,,,,,,,,,,,,,,
sh600076,,康欣新材,3.38,,3.56,3.57,3.3,,,,,,,,,,,,,,
sh600078,,澄星股份,14.48,,13.7,14.84,13.61,,,,,,,,,,,,,,
sh600079,,ST人福,17.03,,17.03,17.31,16.9,,,,,,,,,,,,,,
sh600080,,ST金花,4.62,,4.76,4.9,4.58,,,,,,,,,,,,,,
sh600081,,东风科技,9.74,,10.05,10.07,9.7,,,,,,,,,,,,,,
sh600082,,ST海泰,2.88,,2.91,2.93,2.83,,,,,,,,,,,,,,
sh600084,,*ST尼雅,4.01,,4.12,4.12,4,,,,,,,,,,,,,,
sh600085,,同仁堂,22.95,,23.63,23.85,22.89,,,,,,,,,,,,,,
sh600088,,中视传媒,11.38,,11.85,11.92,11.32,,,,,,,,,,,,,,
sh600089,,特变电工,23.44,,23.6,23.82,23.18,,,,,,,,,,,,,,
sh600094,,大名城,3.77,,3.86,3.95,3.71,,,,,,,,,,,,,,
sh600095,,湘财股份,7.95,,8.26,8.36,7.9,,,,,,,,,,,,,,
sh600096,,云天化,34.12,,31.7,34.19,31.7,,,,,,,,,,,,,,
sh600097,,开创国际,8.23,,8.57,8.65,8.12,,,,,,,,,,,,,,
sh600098,,广州发展,6.57,,6.68,6.68,6.51,,,,,,,,,,,,,,
sh600099,,林海股份,8.47,,8.88,8.88,8.41,,,,,,,,,,,,,,
sh600100,,同方股份,6.86,,6.96,7,6.75,,,,,,,,,,,,,,
sh600101,,明星电力,8.36,,8.59,8.61,8.31,,,,,,,,,,,,,,
sh600103,,青山纸业,3.3,,3.36,3.36,3.25,,,,,,,,,,,,,,
sh600104,,上汽集团,10.08,,10.38,10.4,10.07,,,,,,,,,,,,,,
sh600105,,永鼎股份,68.74,,61.01,68.74,61.01,,,,,,,,,,,,,,
sh600106,,重庆路桥,4.86,,4.97,4.97,4.76,,,,,,,,,,,,,,
sh600107,,*ST尔雅,5.75,,5.95,5.95,5.7,,,,,,,,,,,,,,
sh600108,,亚盛集团,3.48,,3.65,3.69,3.42,,,,,,,,,,,,,,
sh600109,,国金证券,8.78,,8.9,9.05,8.75,,,,,,,,,,,,,,
sh600110,,诺德股份,15.17,,14.45,15.44,14.41,,,,,,,,,,,,,,
sh600111,,北方稀土,49.23,,49.07,50.12,48.03,,,,,,,,,,,,,,
sh600113,,浙江东日,29.82,,30.57,30.88,29.15,,,,,,,,,,,,,,
sh600114,,东睦股份,42.61,,42.09,42.88,41.2,,,,,,,,,,,,,,
sh600115,,中国东航,3.88,,3.84,3.98,3.78,,,,,,,,,,,,,,
sh600116,,三峡水利,5.8,,5.95,5.96,5.78,,,,,,,,,,,,,,
sh600117,,西宁特钢,2.13,,2.2,2.21,2.1,,,,,,,,,,,,,,
sh600118,,中国卫星,71.8,,70.99,72.58,68.79,,,,,,,,,,,,,,
sh600119,,*ST长投,4.53,,4.63,4.79,4.48,,,,,,,,,,,,,,
