code,name,date,closePrice,ma.MA_5,ma.MA_10,ma.MA_20,ma.MA_30,ma.MA_60,ma.MA_120,ma.MA_250,ma.EMA_12,ma.EMA_26,ma.EMA_50,macd.DIF,macd.DEA,macd.MACD,kdj.KDJ_K,kdj.KDJ_D,kdj.KDJ_J,rsi.RSI_2,rsi.RSI_6,rsi.RSI_12,rsi.RSI_24,boll.BOLL_UPPER,boll.BOLL_MID,boll.BOLL_LOWER,bias.BIAS_6,bias.BIAS_12,bias.BIAS_24,wr.WR_6,wr.WR_10,dmi.SAR,dmi.PDI,dmi.MDI,dmi.ADX,dmi.ADXR,other.OBV,other.VR,other.VRMA,other.BBI,other.TRIX,other.TRIXMA,other.DPO,other.MADPO,other.PSY,other.PSYMA,other.ENE,other.ENE_UPPER,other.ENE_LOWER,other.CCI_14,other.DDD,other.AMA,other.AR,other.BR,market
600009,上海机场,2026-06-17,23.6,23.87,23.69,24.36,25.08,26.32,28.80,30.37,24.01,24.72,25.81,-0.71,-0.78,0.15,46.16,41.42,55.64,20.95,39.71,36.99,34.8,25.99,24.36,22.73,-1.08,-0.65,-4.05,81.34,61.58,23.2,17.35,33.56,38.98,50.6,515636.43,54.99,56.76,24.02,-0.47,-0.41,-2.35,-2.4,33.33,37.5,23.93,26.3,21.56,-42.77,-2.32,-2.27,82.77,70.79,sh
600010,包钢股份,2026-06-17,2.4,2.4,2.38,2.41,2.51,2.62,2.62,2.50,2.41,2.47,2.55,-0.07,-0.08,0.03,58.17,48.24,78.01,38.53,49.32,44.33,43.56,2.54,2.41,2.28,0.7,0.63,-1.86,45.83,45.83,2.28,23.89,15.93,29.37,41.41,11933865.28,80.64,72.57,2.41,-0.5,-0.5,-0.2,-0.26,50.0,48.61,2.41,2.65,2.17,64.55,-0.25,-0.26,107.07,74.38,sh
600011,华能国际,2026-06-17,7.92,8.02,8.22,8.22,7.99,7.53,7.47,7.47,8.16,8.04,7.81,0.12,0.24,-0.23,12.81,19.61,-0.81,27.56,34.45,46.1,51.15,9.49,8.22,6.96,-1.49,-5.4,-2.42,75.32,85.71,8.77,21.17,17.49,30.47,42.85,1357023.87,155.7,168.58,8.12,0.41,0.57,0.15,0.52,50.0,58.33,8.31,9.13,7.48,-107.26,0.65,1.02,150.24,91.9,sh
600017,日照港,2026-06-17,2.65,2.67,2.68,2.71,2.77,2.89,2.98,3.05,2.69,2.75,2.82,-0.05,-0.06,0.0,34.69,35.13,33.81,28.62,39.81,38.93,38.81,2.81,2.71,2.62,-0.51,-1.68,-2.81,68.97,72.5,2.6,19.15,25.27,24.23,28.36,1736458.77,49.79,52.22,2.69,-0.29,-0.31,-0.17,-0.17,25.0,30.56,2.71,2.98,2.44,-87.63,-0.16,-0.16,71.11,55.83,sh
600018,上港集团,2026-06-17,4.97,5.0,4.99,5.04,5.06,5.03,5.12,5.36,5.01,5.03,5.05,-0.02,-0.01,-0.02,34.94,35.87,33.08,38.61,42.34,44.16,46.07,5.17,5.04,4.91,-0.53,-0.78,-1.6,75.0,69.23,4.93,19.72,25.35,15.16,16.81,2729432.14,76.49,80.29,5.01,-0.06,0.04,-0.13,-0.08,50.0,48.61,5.04,5.54,4.54,-99.4,-0.03,0.01,101.82,88.24,sh
600012,皖通高速,2026-06-17,16.23,16.38,16.42,16.46,16.26,15.86,15.19,15.28,16.41,16.3,16.02,0.11,0.19,-0.16,32.69,39.69,18.68,49.43,45.41,48.68,51.29,17.36,16.46,15.56,-1.7,-1.66,-0.79,69.46,69.46,17.41,20.2,23.15,11.76,10.54,518185.59,135.9,165.83,16.4,0.15,0.19,0.08,0.51,58.33,68.06,16.59,18.23,14.94,-97.17,0.47,0.70,85.89,81.11,sh
600016,民生银行,2026-06-17,3.56,3.6,3.57,3.55,3.58,3.67,3.76,4.10,3.58,3.59,3.64,-0.01,-0.02,0.02,61.37,65.03,54.06,15.6,44.21,46.07,44.18,3.64,3.55,3.47,-1.02,-0.35,0.06,75.0,52.94,3.52,24.21,14.74,22.93,17.14,5806464.21,49.73,50.79,3.58,-0.05,-0.19,-0.03,-0.02,25.0,34.72,3.61,3.97,3.25,1.33,-0.06,-0.10,105.63,84.81,sh
600015,华夏银行,2026-06-17,6.82,6.9,6.87,6.81,6.75,6.97,6.83,7.09,6.86,6.84,6.87,0.01,-0.0,0.03,60.84,72.67,37.19,12.97,43.68,48.57,48.56,7.02,6.81,6.6,-1.28,-0.73,0.58,82.61,57.58,6.69,20.0,14.21,11.19,15.42,2705044.47,142.67,131.91,6.86,0.06,-0.15,0.14,0.19,41.67,51.39,6.94,7.62,6.25,-7.7,-0.06,-0.14,141.86,108.0,sh
600019,宝钢股份,2026-06-17,5.77,5.89,5.79,5.88,6.01,6.20,6.68,6.88,5.86,5.96,6.14,-0.1,-0.12,0.04,45.58,44.99,46.76,17.0,40.72,40.78,39.96,6.14,5.88,5.62,-1.65,-0.66,-2.42,72.22,68.42,5.64,25.71,29.52,14.11,37.84,4343779.22,67.4,76.88,5.86,-0.29,-0.3,-0.37,-0.32,41.67,51.39,5.85,6.43,5.27,-35.26,-0.36,-0.36,68.42,68.72,sh
600022,山东钢铁,2026-06-17,1.3,1.31,1.31,1.32,1.35,1.43,1.52,1.51,1.32,1.35,1.4,-0.03,-0.03,0.01,45.4,41.75,52.7,22.24,40.71,39.2,38.5,1.37,1.32,1.28,-0.64,-1.02,-2.53,63.64,63.64,1.26,25.0,27.08,24.46,37.67,3380680.7,71.17,67.25,1.32,-0.34,-0.41,-0.08,-0.09,25.0,30.56,1.32,1.45,1.19,-42.15,-0.10,-0.11,74.0,74.0,sh
