code,market,name,close,change_pct,turnover_pct,volume,amount,dde_net,reason,date
301176,sz,逸豪新材,,,,,,,PCB铜箔+AI算力+产能扩张,2026-06-16
600615,sh,鑫源智造,,,,,,,智能割草机器人+无人割草机+农机+轻量化,2026-06-16
002774,sz,快意电梯,,,,,,,旧梯更新+电梯+出口,2026-06-16
605255,sh,天普股份,,,,,,,中昊芯英入主+汽车管路+多次风险提示,2026-06-16
002303,sz,美盈森,,,,,,,包装一体化+新能源包装+海外产能,2026-06-16
603838,sh,*ST四通,,,,,,,摘帽申请+锆钛矿+产能扩建,2026-06-16
000677,sz,ST海龙,,,,,,,ST板块+董事长增持+拟收购群健航空+帘子布,2026-06-16
688484,sh,南芯科技,,,,,,,可转债发行+AI算力电源+芯片,2026-06-16
603078,sh,江化微,,,,,,,上海国资拟入主+G5湿电子化学品+存储芯片,2026-06-16
002726,sz,ST龙大,,,,,,,食品研发+下修转债价格,2026-06-16
300068,sz,ST南都,,,,,,,数据中心电源+储能+ST板块,2026-06-16
000034,sz,神州数码,,,,,,,华为昇腾+AI算力+存储芯片,2026-06-16
688635,sh,长进光子,,,,,,,AI光通信+特种光纤+商业航天+次新,2026-06-16
000564,sz,供销大集,,,,,,,股份回购+零售+供销社+海南自贸港,2026-06-16
300964,sz,本川智能,,,,,,,AI服务器电源+PCB+机器人,2026-06-16
600052,sh,东望时代,,,,,,,拟购科冠聚合物+高阻隔PVDC乳液+锂电池,2026-06-16
603271,sh,永杰新材,,,,,,,重大资产重组+锂电池,2026-06-16
603045,sh,福达合金,,,,,,,AI数据中心+电接触材料+一季报扭亏+贵金属循环,2026-06-16
002008,sz,大族激光,,,,,,,AI算力PCB+一季报增长+半导体设备+商业航天,2026-06-16
600228,sh,返利科技,,,,,,,摘帽+在线导购+苹果概念,2026-06-16
002734,sz,利民股份,,,,,,,业绩大增+锂电池+农药出海,2026-06-16
603260,sh,合盛硅业,,,,,,,碳化硅+有机硅+硅基新材料,2026-06-16
605588,sh,冠石科技,,,,,,,光掩膜版+半导体产业链+半导体显示,2026-06-16
002729,sz,好利科技,,,,,,,数据中心AIDC+熔断器+储能,2026-06-16
002672,sz,东江环保,,,,,,,稀贵金属+危废资源化+广东国资+氟化工,2026-06-16
000679,sz,大连友谊,,,,,,,零售+跨境电商+一季报营收增长,2026-06-16
603949,sh,雪龙集团,,,,,,,电子风扇+商用车热管理+间接投资宇树科技,2026-06-16
603861,sh,白云电器,,,,,,,AIDC高压直流+变压器出海+股份回购,2026-06-16
002436,sz,兴森科技,,,,,,,1.6T光模块+CSP封装基板+FCBGA封装基板,2026-06-16
301055,sz,张小泉,,,,,,,重整落地+厨房五金+业绩高增,2026-06-16
603989,sh,艾华集团,,,,,,,MLPC+AI服务器+铝电解电容+薄膜电容,2026-06-16
