code,code6,name,totalShare,liqaShare
sz.000001,000001,平安银行,19405918198,19405685028
sz.000002,000002,万  科Ａ,9724196533,9715113154
sz.000004,000004,国华退,132380282,126289068
sz.000006,000006,深振业Ａ,1349995046,1349995046
sz.000007,000007,全新好,346448044,346448044
sz.000008,000008,神州高铁,2716377683,2716296952
sz.000009,000009,中国宝安,2579213965,2576020465
sz.000010,000010,*ST美丽,1149652292,873054967
sz.000011,000011,深物业A,528373849,526475543
sz.000012,000012,南  玻Ａ,1961323047,1959316598
sz.000014,000014,沙河股份,242046224,242046224
sz.000016,000016,*ST康佳A,1596593800,1596593800
sz.000017,000017,深中华A,440821951,440821951
sz.000019,000019,深粮控股,1100785974,416208907
sz.000020,000020,深华发Ａ,181165391,181165391
sz.000021,000021,深科技,1574369780,1574155580
sz.000025,000025,特  力Ａ,392778320,392778320
sz.000026,000026,飞亚达,365183073,364437819
sz.000027,000027,深圳能源,4757389916,4757352416
sz.000028,000028,国药一致,533735176,525859082
sz.000029,000029,深深房Ａ,891660000,891627150
sz.000030,000030,富奥股份,1671991930,1670808645
sz.000031,000031,大悦城,4286313339,4286304701
sz.000032,000032,深桑达Ａ,1215179311,1137959234
sz.000034,000034,神州数码,1016739663,849147841
sz.000035,000035,中国天楹,2388032769,2313124623
sz.000036,000036,华联控股,1403818725,1402981231
sz.000037,000037,深南电A,338908150,338908150
sz.000039,000039,中集集团,2302682490,2301407141
sz.000042,000042,中洲控股,664831139,664142227
sz.000045,000045,深纺织Ａ,457021849,457021849
sz.000048,000048,京基智农,530202750,529302750
sz.000049,000049,德赛电池,384638534,384534862
sz.000050,000050,深天马Ａ,2435775599,2435753974
sz.000055,000055,方大集团,679715472,675854429
sz.000056,000056,*ST皇庭,939293208,903733208
sz.000058,000058,深 赛 格,984739354,984739279
sz.000059,000059,华锦股份,1599442537,1599412762
sz.000060,000060,中金岭南,4441172458,4441101208
sz.000061,000061,农 产 品,1984961198,1794311988
