code,name,listedDate,business,website,industry,sector,issuePrice,regCapital,establishDate,chairman,regAddress,officeAddress,tel,email
sz000001,平安银行,1991-04-03,人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。,http://bank.pingan.com,银行,银行,2.00,1940591.8198,1987-12-22 00:00:00 +0800 CST,谢永林,中华人民共和国广东省深圳市罗湖区深南东路5047号,中国广东省深圳市深南东路5047号;中国广东省深圳市福田区益田路5023号平安金融中心B座,0755-82080387,PAB_db@pingan.com.cn
sz000002,万  科Ａ,1991-01-29,房地产开发和物业服务。,http://www.vanke.com,房地产,房地产,1.00,1193070.9471,1984-05-30 00:00:00 +0800 CST,黄力平,中国广东省深圳市盐田区大梅沙环梅路33号万科中心,中国广东省深圳市福田区梅林路63号万科大厦,0755-25606666,IR@vanke.com
sz000004,国华退,1990-12-01,"移动互联网游戏的运营相关服务及投资业务,移动应用安全服务业务,移动互联网安全业务。",http://www.sz000004.cn/,计算机,计算机,1.00,13238.0282,1986-05-05 00:00:00 +0900 CDT,黄翔,深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,0755-83521596,gnkjsz@163.com
sz000006,深振业Ａ,1992-04-27,房地产开发与经营。,http://www.zhenye.com,房地产,房地产,1.00,134999.5046,1989-05-25 00:00:00 +0900 CDT,宋扬,深圳市罗湖区桂园街道宝安南路2014号振业大厦A座31层,深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,0755-25866282,szzygp@126.com
sz000007,全新好,1992-04-13,物业管理、房屋租赁、汽车经销及大健康产业。,http://www.sz000007.com,商贸零售,商贸零售,1.00,34644.8044,1983-03-11 00:00:00 +0800 CST,何永户,广东省深圳市福田区华强北街道福强社区华强北路1078号现代之窗A座25层,深圳市福田区福田街道深南中路3031号汉国城市商业中心5507-09,0755-83280053,stock0007@vip.126.com
sz000008,神州高铁,1992-05-07,轨道交通运营维护装备提供和运营及维保服务。,http://www.shenzhou-gaotie.com/,机械设备,机械设备,1.00,271637.7683,1989-10-11 00:00:00 +0800 CST,孔令胜,北京市海淀区高梁桥斜街59号院1号楼16层1606,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,010-62119883,dongmi@shenzhou-gaotie.com
sz000009,中国宝安,1991-06-25,高新技术产业、生物医药业和房地产业的投资。,http://www.chinabaoan.com/,电力设备,电力设备,1.00,257921.3965,1990-10-08 00:00:00 +0800 CST,黄旭,深圳市罗湖区笋岗东路1002号宝安广场A座28-29层,深圳市笋岗东路1002号宝安广场A座28-29层,0755-25170336,zgbajt@163.net
sz000010,*ST美丽,1995-10-27,市政、公路、房屋建筑、生态环保等领域。,http://www.eco-beauty.cn,建筑装饰,建筑装饰,1.00,114965.2292,1989-01-09 00:00:00 +0800 CST,陈飞霖,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座1701-1703室,0755-88260216,IR@eco-beauty.cn
sz000011,深物业A,1992-03-30,房地产开发经营。,http://www.szwuye.com.cn,房地产,房地产,3.60,59597.9092,1983-01-17 00:00:00 +0800 CST,唐小平,广东省深圳市罗湖区人民南路国贸大厦39层、42层,广东省深圳市罗湖区人民南路国贸大厦16层、20层、39层、42层,0755-82211020,000011touzizhe@szwuye.com.cn
sz000012,南  玻Ａ,1992-02-28,"研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品,超薄电子玻璃和显示器件等新材料和信息显示产品,提供光伏电站项目开发、建设、运维一站式服务等。",http://www.csgholding.com,建筑材料,建筑材料,3.38,304246.8811,1984-09-10 00:00:00 +0800 CST,陈琳,中国深圳市蛇口工业区工业六路一号南玻大厦,中国深圳市蛇口工业六路一号南玻大厦,0755-26860666,securities@csgholding.com
sz000014,沙河股份,1992-06-02,房地产开发与经营。,https://www.shahe.cn,房地产,房地产,2.38,24204.6224,1987-07-27 00:00:00 +0900 CDT,杨岭,深圳市南山区白石路2222号沙河世纪楼,深圳市南山区白石路2222号沙河世纪楼,0755-86091298,wangfan@shahe.cn
sz000016,*ST康佳A,1992-03-27,"生产和销售黑白、彩色电视机收录机及音响,图文传真机、对讲机及电话等影视、音响、通讯产品。",http://www.konka.com,家用电器,家用电器,3.90,240794.5408,1980-10-01 00:00:00 +0800 CST,邬建军,深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,0755-26609138,szkonka@konka.com
