id,stock_code,stock_name,strategy,strategy_id,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,sharpe,max_drawdown_pct,win_rate_pct,total_trades,annual_vol,calmar,benchmark_return_pct,excess_return_pct,created_at
87,603629,利通电子,双均线交叉,5,2025-06-20,2026-06-20,100000.0,486570.54079099995,386.57,419.73,3.38,32.58,20.0,5,70.39,12.88,28.47,358.11,2026-06-20 21:21:10.043535
47,001309,德明利,双均线交叉,5,2025-06-20,2026-06-16,100000.0,461313.4385749999,361.31,391.66,2.6,27.44,60.0,5,78.73,14.27,26.97,334.34,2026-06-20 20:56:04.373528
51,001309,德明利,双均线交叉,5,2025-06-20,2026-06-16,100000.0,461313.4385749999,361.31,391.66,2.6,27.44,60.0,5,78.73,14.27,26.97,334.34,2026-06-20 20:58:24.676044
49,001309,德明利,MACD金叉死叉,6,2025-06-20,2026-06-16,100000.0,371582.0219199999,271.58,292.47,2.6,21.86,75.0,8,78.73,13.38,26.97,244.61,2026-06-20 20:57:52.824466
39,603986,兆易创新,双均线交叉,5,2025-06-20,2026-06-20,100000.0,326261.786419,226.26,242.74,2.74,36.76,40.0,5,63.96,6.6,0.0,226.26,2026-06-20 15:36:32.126003
40,603986,兆易创新,双均线交叉,5,2025-06-20,2026-06-20,100000.0,326261.786419,226.26,242.74,2.74,36.76,40.0,5,63.96,6.6,0.0,226.26,2026-06-20 15:39:35.164776
41,603986,兆易创新,双均线交叉,5,2025-06-20,2026-06-20,100000.0,326261.786419,226.26,242.74,2.74,36.76,40.0,5,63.96,6.6,0.0,226.26,2026-06-20 15:39:38.195510
46,601138,工业富联,双均线交叉,5,2025-01-01,2026-06-20,100000.0,316974.29128999996,216.97,127.97,1.82,34.0,37.5,8,57.56,3.76,0.0,216.97,2026-06-20 15:55:52.396967
154,000007,全新好,双均线交叉,5,2024-06-01,2026-06-16,100000.0,303364.0298969999,203.36,75.55,1.38,26.29,41.7,12,46.25,2.87,36.1,167.27,2026-06-21 21:54:52.505859
48,001309,德明利,海龟交易法则,7,2025-06-20,2026-06-16,100000.0,253117.03705699992,153.12,163.1,2.6,21.09,71.4,7,78.73,7.73,26.97,126.14,2026-06-20 20:56:27.689007
