strategy,backtest_count,stocks_tested,avg_return_pct,avg_sharpe,avg_win_rate_pct,avg_max_dd_pct,best_return_pct,worst_return_pct,avg_trades,profit_pct
双均线交叉,35,27,64.34,0.98,27.3,30.02,386.57,-34.3,11.0,45.7
双均线信号策略,5,4,58.26,1.31,0.5,-9.37,75.51,48.28,7.0,100.0
海龟交易法则,8,5,50.79,1.83,40.2,17.33,153.12,-2.85,3.0,62.5
MACD金叉死叉,23,22,20.78,0.42,34.2,32.11,271.58,-41.89,18.0,52.2
RSI超买超卖,16,6,16.69,1.13,87.0,16.16,77.49,-2.62,3.0,62.5
布林带突破,25,23,16.45,0.58,73.3,19.71,67.74,-49.48,6.0,72.0
短期反转选股,4,1,8.23,0.23,12.7,-6.13,32.93,0.0,3.0,25.0
低波动选股,4,1,5.81,0.26,13.8,-4.13,23.25,0.0,1.0,25.0
盾+矛全天候,5,1,1.74,0.08,10.2,-3.87,8.71,0.0,3.0,20.0
技术指标投票模型,3,1,1.58,1.17,22.0,-6.36,1.62,1.56,98.0,100.0
极致小市值,4,1,1.2,0.07,13.3,-7.75,4.78,0.0,3.0,25.0
小市值选股,4,1,0.73,0.06,13.6,-8.4,2.92,0.0,3.0,25.0
三因子均衡,5,1,0.34,-0.02,20.0,-8.52,6.78,-5.08,4.0,20.0
低换手选股,5,1,-0.2,0.01,10.4,-4.64,0.0,-1.01,1.0,0.0
