stock_code,stock_name,strategies_tested,avg_return_pct,best_return_pct,avg_sharpe
603629,利通电子,2,217.13,386.57,3.38
603986,兆易创新,13,100.41,226.26,2.67
001309,德明利,5,236.14,361.31,2.6
000001,平安银行,7,-1.69,-0.38,1.8
601138,工业富联,9,32.87,216.97,1.69
688256,寒武纪,3,36.51,77.49,1.46
000007,全新好,3,108.16,203.36,1.38
600519,贵州茅台,2,61.91,75.51,1.35
VOTING,技术投票模型,3,1.58,1.62,1.17
000060,中金岭南,3,21.69,33.49,0.88
000519,中兵红箭,3,52.55,67.74,0.65
000010,*ST美丽,3,16.2,51.65,0.45
000420,吉林化纤,3,29.38,60.71,0.44
000008,神州高铁,3,2.98,60.04,0.41
601113,华鼎股份,2,19.18,19.18,0.37
000016,*ST康佳A,3,1.45,20.2,0.37
000020,深华发Ａ,3,15.46,40.42,0.31
000035,中国天楹,3,-2.88,12.22,0.14
000156,华数传媒,3,2.11,11.86,0.12
000027,深圳能源,3,-0.29,-0.23,0.09
000019,深粮控股,3,-12.58,8.84,0.09
PORTFOLIO,短期反转选股,31,2.36,32.93,0.09
689009,九号公司-WD,3,-3.65,25.28,0.08
000088,盐 田 港,3,-7.81,16.57,-0.14
000030,富奥股份,3,-1.77,47.47,-0.27
000012,南  玻Ａ,3,-16.75,6.82,-0.28
000009,中国宝安,3,-10.35,-2.06,-0.32
000089,深圳机场,4,-0.45,-0.18,-0.36
000552,甘肃能化,3,-22.37,-11.99,-0.58
000028,国药一致,3,-17.12,-14.97,-1.02
