批量回测结果
运行时间: 2026-06-20 17:20:57
策略: 七维评分穿越 (score_cross)
区间: 2024-01-01 ~ 2026-06-01

      代码       收益     夏普     胜率       回撤   交易       基准       超额
----------------------------------------------------------------------
  000554  +87.01% +1.33  44.4%  -19.14%   18  +17.85%  +69.16%
  002079  +82.61% +1.56  63.6%  -14.53%   11   +9.52%  +73.09%
  603332  +71.06% +1.09  41.9%  -15.59%   31   -1.58%  +72.64%
  002748  +66.23% +1.08  47.6%  -16.04%   21   +3.60%  +62.63%
  002780  +62.99% +1.00  50.0%  -15.44%   22   +9.53%  +53.46%
  300405  +60.46% +0.99  55.0%  -21.76%   20   -3.36%  +63.82%
  002620  +50.70% +1.48  66.7%  -14.66%   12  +35.89%  +14.81%
  002047  +49.99% +1.54  71.4%   -9.61%   14  +70.50%  -20.51%
  002495  +49.01% +0.97  57.1%  -12.61%   14  -28.40%  +77.41%
  688701  +45.06% +0.85  50.0%  -14.83%   30   +3.67%  +41.39%
  688681  +44.63% +0.82  53.8%  -20.82%   13  +12.48%  +32.15%
  002702  +44.45% +0.82  43.3%  -20.45%   30   -9.80%  +54.25%
  002316  +37.39% +0.75  42.1%  -20.82%   19   -1.90%  +39.29%
  002909  +34.51% +0.65  42.9%  -15.72%   21  -23.17%  +57.68%
  002857  +27.62% +0.74  50.0%  -12.77%   22  +20.04%   +7.58%
  001210  +25.33% +0.60  53.8%  -24.45%   13  +61.49%  -36.16%
  603960  +24.91% +0.73  60.0%  -12.62%   15  +36.18%  -11.27%
  600822  +24.34% +0.53  39.1%  -29.19%   23  -10.30%  +34.64%
  000637  +23.95% +0.51  45.0%  -20.74%   20  +33.60%   -9.65%
  688117  +23.74% +0.61  42.1%  -14.70%   19  +22.33%   +1.41%
  000404  +22.37% +0.90  75.0%   -6.60%    4  +37.52%  -15.15%
  600664  +21.82% +0.51  54.5%  -16.27%   11   +0.00%  +21.82%
  300990  +21.36% +0.70  58.3%  -15.69%   12  +74.47%  -53.11%
  002715  +18.63% +0.44  38.2%  -25.99%   34   -1.95%  +20.58%
  600803  +17.25% +0.47  42.9%  -17.59%   14  +17.35%   -0.10%
  600986  +15.83% +0.57  40.0%  -14.01%   10  +69.94%  -54.11%
  600727  +15.67% +0.64  66.7%  -10.98%    9  +32.70%  -17.03%
  603739  +15.43% +0.39  50.0%  -17.84%   16  -11.12%  +26.55%
  600073  +14.13% +0.56  42.9%  -10.84%    7  -19.86%  +33.99%
  688509  +13.98% +0.41  62.5%  -20.83%    8   -0.82%  +14.80%
  600817  +12.35% +0.33  40.9%  -22.69%   22   +7.42%   +4.93%
  605005  +11.71% +0.33  50.0%  -19.12%   10   -4.22%  +15.93%
  600621   +8.45% +0.67  50.0%   -2.32%    2   -1.18%   +9.63%
  603737   +7.64% +0.55 100.0%   -6.40%    2  -30.71%  +38.35%
  300247   +6.60% +0.24  41.2%  -23.77%   17  +14.79%   -8.19%
  300612   +2.69% +0.17  39.3%  -20.93%   28  -26.50%  +29.19%
  002569   +0.58% +0.07 100.0%   -8.72%    1 +121.52% -120.94%
  600516   +0.00% +0.00   0.0%   +0.00%    0   -2.85%   +2.85%
  000526   +0.00% +0.00   0.0%   +0.00%    0  -40.52%  +40.52%
  300058   +0.00% +0.00   0.0%   +0.00%    0 +152.04% -152.04%
  000608   +0.00% +0.00   0.0%   +0.00%    0  +67.66%  -67.66%
  688686   +0.00% +0.00   0.0%   +0.00%    0  +27.31%  -27.31%
  688507   +0.00% +0.00   0.0%   +0.00%    0  +21.45%  -21.45%
  600563   +0.00% +0.00   0.0%   +0.00%    0  +73.20%  -73.20%
  601869   +0.00% +0.00   0.0%   +0.00%    0 +1239.88% -1239.88%
  002938   +0.00% +0.00   0.0%   +0.00%    0 +365.26% -365.26%
  600985   +0.00% +0.00   0.0%   +0.00%    0   -9.06%   +9.06%
  601100   +0.00% +0.00   0.0%   +0.00%    0 +100.93% -100.93%
  601991   +0.00% +0.00   0.0%   +0.00%    0 +234.80% -234.80%
  603773   +0.00% +0.00   0.0%   +0.00%    0 +246.18% -246.18%
  688525   +0.00% +0.00   0.0%   +0.00%    0 +484.25% -484.25%
  300868   +0.00% +0.00   0.0%   +0.00%    0 +366.88% -366.88%
  688097   +0.00% +0.00   0.0%   +0.00%    0  +84.78%  -84.78%
  002384   +0.00% +0.00   0.0%   +0.00%    0 +974.62% -974.62%
  300757   +0.00% +0.00   0.0%   +0.00%    0 +621.67% -621.67%
  300001   +0.00% +0.00   0.0%   +0.00%    0  +79.20%  -79.20%
  688082   +0.00% +0.00   0.0%   +0.00%    0 +102.01% -102.01%
  002281   +0.00% +0.00   0.0%   +0.00%    0 +617.40% -617.40%
  688301   +0.00% +0.00   0.0%   +0.00%    0  -37.98%  +37.98%
  000636   +0.00% +0.00   0.0%   +0.00%    0 +297.36% -297.36%
  002859   +0.00% +0.00   0.0%   +0.00%    0 +207.99% -207.99%
  300672   +0.00% +0.00   0.0%   +0.00%    0 +370.38% -370.38%
  301115   +0.00% +0.00   0.0%   +0.00%    0  +60.17%  -60.17%
  601137   +0.00% +0.00   0.0%   +0.00%    0  +26.18%  -26.18%
  601001   +0.00% +0.00   0.0%   +0.00%    0  +56.21%  -56.21%
  002608   +0.00% +0.00   0.0%   +0.00%    0  +47.89%  -47.89%
  603986   +0.00% +0.00   0.0%   +0.00%    0 +415.82% -415.82%
  601699   +0.00% +0.00   0.0%   +0.00%    0  -22.06%  +22.06%
  600487   +0.00% +0.00   0.0%   +0.00%    0 +542.38% -542.38%
  601101   +0.00% +0.00   0.0%   +0.00%    0 +102.30% -102.30%
  603818   -0.57% +0.08  38.9%  -19.39%   18  -38.98%  +38.41%
  002219   -1.55% +0.08  36.8%  -19.67%   19  -27.39%  +25.84%
  688380   -1.72% -0.02  50.0%  -14.06%    6  +82.32%  -84.04%
  300694   -2.01% +0.07  38.1%  -28.63%   21  -14.66%  +12.65%
  300183   -2.50% -0.08  75.0%  -10.12%    4  -18.22%  +15.72%
  300303   -2.89% -0.05  66.7%  -15.11%    3  +43.51%  -46.40%
  000548   -3.06% +0.07  36.4%  -28.13%   11  -10.86%   +7.80%
  000848   -3.57% +0.04  33.3%  -26.16%    9   +4.95%   -8.52%
  002687   -3.87% +0.03  41.7%  -17.19%   12  -17.29%  +13.42%
  002012   -4.06% -0.15  50.0%  -11.99%    6  +33.81%  -37.87%
  600685   -4.60% -0.15  40.0%  -14.21%    5   +7.79%  -12.39%
  300610   -5.27% +0.05  50.0%  -27.43%   14   -1.91%   -3.36%
  688210   -6.87% -0.62  33.3%  -10.87%    3  +78.39%  -85.26%
