批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
--------------------------------------------------------------------------------
  002655       七维评分穿越  +89.69% +1.30  61.1%  -21.47%   18 +179.89%  -90.20%
  300385       七维评分穿越  +87.88% +1.19  51.5%  -19.03%   33 +111.02%  -23.14%
  002413         均线金叉  +84.31% +1.73  75.0%   -6.25%    8  +94.16%   -9.85%
  300048       七维评分穿越  +83.22% +1.38  68.8%  -15.93%   16  +16.07%  +67.15%
  603239       七维评分穿越  +76.44% +1.28  66.7%  -12.78%   15  +29.24%  +47.20%
  301158         均线金叉  +70.32% +1.35  62.5%   -6.44%    8   +1.77%  +68.55%
  002207       七维评分穿越  +66.77% +1.15  56.7%  -14.68%   30  +29.47%  +37.30%
  002201         均线金叉  +64.42% +1.46  66.7%  -11.60%    6  +51.43%  +12.99%
  600088         均线金叉  +63.76% +1.76  60.0%   -4.46%    5   +9.38%  +54.38%
  300405       七维评分穿越  +60.46% +0.99  55.0%  -21.76%   20   -3.36%  +63.82%
  002486       七维评分穿越  +60.32% +1.04  52.4%  -20.07%   21  -14.89%  +75.21%
  002443         均线金叉  +58.51% +1.24  50.0%   -9.49%    8  +67.78%   -9.27%
  603238         趋势跟踪  +57.89% +1.21 100.0%  -12.41%    3   -3.99%  +61.88%
  001202       七维评分穿越  +57.03% +0.92  50.0%  -23.96%   22  -11.77%  +68.80%
  301158       七维评分穿越  +56.43% +0.91  40.0%  -14.22%   20   +1.77%  +54.66%
  603533       七维评分穿越  +55.79% +0.97  53.6%  -15.35%   28  +33.10%  +22.69%
  600232       七维评分穿越  +54.93% +0.98  55.0%  -14.53%   20  +25.92%  +29.01%
  301158         趋势跟踪  +54.89% +1.14  66.7%  -12.83%    6   +1.77%  +53.12%
  002247       七维评分穿越  +54.55% +0.95  60.0%  -19.60%   15  +11.76%  +42.79%
  600513         趋势跟踪  +53.31% +1.49  75.0%   -9.08%    4  +58.21%   -4.90%
  300723         趋势跟踪  +53.13% +1.29  71.4%   -6.28%    7  +41.48%  +11.65%
  002246         趋势跟踪  +53.11% +1.27  62.5%   -9.33%    8 +147.08%  -93.97%
  688620       七维评分穿越  +52.37% +1.20  53.3%  -14.53%   15   +3.06%  +49.31%
  601279         均线金叉  +51.91% +1.47  75.0%   -4.38%    4  -37.28%  +89.19%
  600561         均线金叉  +51.37% +1.92  80.0%   -4.45%    5   -3.65%  +55.02%
  600782         均线金叉  +51.34% +1.42  75.0%   -6.29%    4  -18.18%  +69.52%
  300254       七维评分穿越  +50.42% +1.02  55.6%  -17.35%   18   +8.40%  +42.02%
  600358       七维评分穿越  +49.38% +0.93  54.5%  -24.51%   22  +11.34%  +38.04%
  603585         均线金叉  +49.24% +1.03  62.5%  -12.63%    8  +12.38%  +36.86%
  600113         趋势跟踪  +48.78% +1.17  57.1%  -10.65%    7 +362.47% -313.69%
  601619       七维评分穿越  +48.71% +1.14  60.0%  -14.55%   10  +60.41%  -11.70%
  600231         趋势跟踪  +47.58% +1.00  42.9%  -13.46%    7   -6.41%  +53.99%
  300458         趋势跟踪  +47.34% +1.17  60.0%   -8.90%    5  +52.29%   -4.95%
  300943         均线金叉  +46.94% +1.32  62.5%  -11.75%    8 +172.36% -125.42%
  300106         均线金叉  +45.94% +1.34  75.0%   -9.89%    8  +43.68%   +2.26%
  600130         均线金叉  +45.77% +1.28  62.5%  -11.63%    8   +5.22%  +40.55%
  002919       七维评分穿越  +45.23% +0.78  44.4%  -17.80%   27  -16.43%  +61.66%
  000633         趋势跟踪  +45.05% +1.04  60.0%   -7.88%    5  -19.46%  +64.51%
  688280         均线金叉  +44.77% +1.51  75.0%   -7.87%    4  -23.14%  +67.91%
  002702       七维评分穿越  +44.45% +0.82  43.3%  -20.45%   30   -9.80%  +54.25%
  300370       七维评分穿越  +44.12% +0.77  52.6%  -21.92%   19   -2.01%  +46.13%
  600513       七维评分穿越  +43.97% +0.93  53.3%  -13.13%   15  +58.21%  -14.24%
  688602         均线金叉  +43.34% +1.01  71.4%   -7.54%    7  -36.63%  +79.97%
  605118         趋势跟踪  +43.19% +1.41  75.0%   -5.69%    4  +34.82%   +8.37%
  605118         均线金叉  +43.18% +1.19  62.5%   -8.74%    8  +34.82%   +8.36%
  603999       七维评分穿越  +43.16% +0.85  57.1%  -14.50%   14  -12.44%  +55.60%
  002702         趋势跟踪  +43.02% +1.31  60.0%   -9.20%    5   -9.80%  +52.82%
  002418         均线金叉  +42.81% +1.02  60.0%  -14.78%   15  +65.32%  -22.51%
  600561       七维评分穿越  +42.44% +1.03  56.2%  -18.21%   16   -3.65%  +46.09%
  603105         趋势跟踪  +42.10% +0.90  50.0%  -10.78%    4  -21.32%  +63.42%
  300458         均线金叉  +41.83% +0.96  60.0%  -15.34%   10  +52.29%  -10.46%
  600232         均线金叉  +41.81% +1.28  75.0%   -7.96%    4  +25.92%  +15.89%
  601177       七维评分穿越  +40.41% +0.85  56.2%  -24.89%   16  +68.88%  -28.47%
  600400         均线金叉  +40.30% +0.95  57.1%  -15.43%    7   +2.86%  +37.44%
  002479       七维评分穿越  +39.90% +0.78  60.0%  -14.53%   10   +9.02%  +30.88%
  002942       七维评分穿越  +39.78% +0.77  41.2%  -16.32%   17  -10.60%  +50.38%
  300106       七维评分穿越  +39.53% +0.74  40.9%  -19.82%   22  +43.68%   -4.15%
  603238         均线金叉  +38.57% +1.16  50.0%   -8.25%    6   -3.99%  +42.56%
  002299         均线金叉  +38.43% +1.18  60.0%   -9.77%    5   +2.20%  +36.23%
  600689       七维评分穿越  +38.15% +0.74  50.0%  -20.99%   20   +3.10%  +35.05%
  000504       七维评分穿越  +37.77% +0.74  50.0%  -20.20%   24  -18.98%  +56.75%
  603817       七维评分穿越  +37.58% +1.12  66.7%  -11.97%    9   -2.57%  +40.15%
  603585         趋势跟踪  +37.46% +0.87  60.0%  -13.12%    5  +12.38%  +25.08%
  301060         均线金叉  +36.76% +0.90  50.0%   -9.19%    8  -25.16%  +61.92%
  600507       七维评分穿越  +35.84% +0.67  63.6%  -17.23%   11   +4.52%  +31.32%
  603817         均线金叉  +35.81% +1.39  75.0%   -6.47%    4   -2.57%  +38.38%
  300155       七维评分穿越  +35.38% +0.71  52.4%  -16.95%   21  -16.13%  +51.51%
  601619         趋势跟踪  +35.21% +0.82  33.3%  -14.27%    6  +60.41%  -25.20%
  002663       七维评分穿越  +34.88% +0.79  53.3%  -18.34%   15   +7.10%  +27.78%
  600681       七维评分穿越  +34.86% +0.67  46.2%  -18.63%   13   -1.51%  +36.37%
  002723       七维评分穿越  +34.78% +0.68  42.3%  -14.99%   26  -14.72%  +49.50%
  000718         趋势跟踪  +34.59% +1.20 100.0%   -9.06%    2  -20.07%  +54.66%
  301255         均线金叉  +34.41% +0.89  57.1%  -13.57%    7  -38.30%  +72.71%
  002442         均线金叉  +34.40% +0.91  44.4%  -10.87%    9  -12.15%  +46.55%
  003037         趋势跟踪  +34.13% +1.41 100.0%   -4.74%    2  -33.79%  +67.92%
  605268         趋势跟踪  +34.12% +0.79  33.3%  -16.15%    6   +6.08%  +28.04%
  688592       七维评分穿越  +34.04% +1.32  75.0%   -5.34%    4  -26.98%  +61.02%
  300404       七维评分穿越  +33.65% +0.71  50.0%  -14.52%   16  +11.21%  +22.44%
