牛股模型验证报告
运行时间: 2026-06-21 10:29:17
样本: 100只 (牛股共振策略TOP100)

      代码     回测收益  XGBoost  XGB信号     综合       仓位
------------------------------------------------------------
  002716 +137.70%   64.0%     买入   买入     重仓
  600113 +122.59%   52.0%     中性   买入     重仓
  300131 +107.97%   81.9%     买入   买入     重仓
  300943  +98.01%   73.0%     买入   买入     重仓
  688011  +94.73%   71.8%     买入   买入     重仓
  002418  +90.13%   50.1%     中性   买入     重仓
  002620  +89.50%   54.3%     中性   买入     重仓
  300385  +87.88%   48.0%     中性   买入     重仓
  000554  +87.01%   59.9%     买入   买入     重仓
  002655  +85.60%   58.2%     买入   买入     重仓
  600513  +75.79%   36.1%     回避   中性     轻仓
  600727  +73.34%   39.1%     回避   买入     重仓
  002246  +71.60%   58.6%     买入   买入     重仓
  600232  +71.15%   56.4%     买入   买入     重仓
  603332  +71.06%   47.1%     中性   买入     重仓
  603838  +70.75%   74.2%     买入   买入     重仓
  600231  +70.50%   41.4%     中性   中性     轻仓
  002201  +66.91%   42.6%     中性   买入     重仓
  002047  +66.59%   63.7%     买入   买入     重仓
  002247  +66.44%   55.2%     买入   买入     重仓
  002748  +66.23%   48.8%     中性   买入     重仓
  002780  +62.99%   40.7%     中性   买入     重仓
  002683  +61.68%   40.8%     中性   买入     重仓
  603058  +61.01%   60.7%     买入   买入     重仓
  688509  +61.00%   44.4%     中性   买入     重仓
  300405  +60.46%   56.2%     买入   买入     重仓
  002486  +60.32%   49.6%     中性   买入     重仓
  603139  +59.19%   57.7%     买入   买入     重仓
  001202  +57.03%   61.4%     买入   买入     重仓
  001210  +55.82%   31.9%     回避   买入     重仓
  002079  +54.74%   63.5%     买入   买入     重仓
  002569  +53.74%   74.7%     买入   买入     重仓
  603335  +53.10%   57.7%     买入   买入     重仓
  002857  +51.45%   50.9%     中性   买入     重仓
  600507  +51.04%   47.8%     中性   买入     重仓
  603773  +51.04%   58.8%     买入   买入     重仓
  300572  +50.31%   34.3%     回避   中性     轻仓
  002009  +48.91%   50.6%     中性   中性     轻仓
  002495  +47.87%   37.1%     回避   中性     轻仓
  002919  +47.09%   47.5%     中性   买入     重仓
  301282  +46.76%   64.9%     买入   买入     重仓
  600575  +46.58%   36.7%     回避   买入     重仓
  601177  +45.54%   32.4%     回避   中性     轻仓
  688701  +45.06%   56.9%     买入   买入     重仓
  688681  +44.63%   51.6%     中性   买入     重仓
  002702  +44.45%   29.7%     回避   回避  空仓/回避
  300458  +44.04%   48.8%     中性   买入     重仓
  301388  +43.92%   60.0%     买入   买入     重仓
  003035  +43.29%   29.1%     回避   中性     轻仓
  605268  +43.09%   51.8%     中性   买入     重仓
  002115  +41.30%   62.4%     买入   买入     重仓
  601619  +41.25%   52.8%     中性   买入     重仓
  301158  +39.89%   55.2%     买入   买入     重仓
  601319  +39.88%   63.8%     买入   买入     重仓
  600681  +39.82%   46.4%     中性   买入     重仓
  688512  +39.38%   51.4%     中性   买入     重仓
  603533  +38.75%   64.4%     买入   买入     重仓
  300632  +38.73%   81.6%     买入   买入     重仓
  002537  +38.41%   34.4%     回避   中性     轻仓
  600689  +38.15%   32.6%     回避   买入     重仓
  300990  +37.88%   76.1%     买入   买入     重仓
  603116  +37.79%   56.4%     买入   买入     重仓
  000504  +37.77%   22.0%     回避   中性     轻仓
  002413  +37.76%   72.7%     买入   买入     重仓
  688222  +37.68%   33.7%     回避   中性     轻仓
  002942  +37.47%   49.4%     中性   中性     轻仓
  002316  +37.39%   43.6%     中性   买入     重仓
  000807  +37.08%   78.3%     买入   买入     重仓
  002207  +36.44%   70.5%     买入   买入     重仓
  300665  +35.70%   42.4%     中性   买入     重仓
  603585  +35.68%   55.8%     买入   买入     重仓
  300106  +34.84%   42.4%     中性   买入     重仓
  002723  +34.78%   61.8%     买入   买入     重仓
  300167  +34.70%   52.1%     中性   买入     重仓
  002909  +34.51%   54.0%     中性   买入     重仓
  300254  +32.12%   12.4%     回避   回避  空仓/回避
  600561  +32.07%   41.3%     中性   中性     轻仓
  600358  +31.91%   55.3%     买入   买入     重仓
  600664  +31.85%   24.1%     回避   中性     轻仓
  603817  +31.27%   36.5%     回避   买入     重仓
  002479  +31.22%   37.4%     回避   买入     重仓
  300058  +31.09%   65.7%     买入   买入     重仓
  600783  +30.75%   40.8%     中性   买入     重仓
  300370  +30.11%   69.0%     买入   买入     重仓
  300164  +29.95%   62.0%     买入   买入     重仓
  603188  +29.34%   59.2%     买入   买入     重仓
  002663  +27.76%   39.2%     回避   买入     重仓
  002175  +27.27%   66.7%     买入   买入     重仓
  603999  +26.78%   30.1%     回避   中性     轻仓
  002393  +26.76%   37.7%     回避   中性     轻仓
  300488  +25.59%   59.8%     买入   买入     重仓
  600986  +25.38%   38.4%     回避   买入     重仓
  601700  +24.76%   55.4%     买入   买入     重仓
  300155  +24.60%   57.8%     买入   买入     重仓
  600822  +24.34%   52.8%     中性   买入     重仓
  600128  +24.16%   42.6%     中性   回避  空仓/回避
  000637  +23.95%   58.9%     买入   买入     重仓
  000537  +23.88%   58.4%     买入   买入     重仓
  603239  +23.67%   32.0%     回避   中性     轻仓
  301097  +23.21%   59.9%     买入   买入     重仓
