全量牛股回测结果
时间: 2026-06-21 11:07:56
股票: 2000只 | 策略: 2 | 回测: 4000次

  000609       七维共振牛股 +230.99%
  002052       七维共振牛股 +179.63%
  002713       七维共振牛股 +172.25%
  000533       七维共振牛股 +163.23%
  001339       七维共振牛股 +163.22%
  002348       七维共振牛股 +162.36%
  002885       七维共振牛股 +153.94%
  300548       七维共振牛股 +148.76%
  300440       七维共振牛股 +145.65%
  002796       七维共振牛股 +145.18%
  002602       七维共振牛股 +140.37%
  000890       七维共振牛股 +137.77%
  001331       七维共振牛股 +136.74%
  002256       七维共振牛股 +136.26%
  000534       七维共振牛股 +134.07%
  002134       七维共振牛股 +131.86%
  002346       七维共振牛股 +131.69%
  001211       七维共振牛股 +130.14%
  002667       七维共振牛股 +128.11%
  002185       七维共振牛股 +127.36%
  002297       七维共振牛股 +127.26%
  000833       七维共振牛股 +125.68%
  002112       七维共振牛股 +125.21%
  001266        综合多信号 +124.34%
  002927       七维共振牛股 +124.09%
  300137       七维共振牛股 +123.74%
  002638       七维共振牛股 +122.45%
  002058       七维共振牛股 +120.43%
  002546       七维共振牛股 +119.78%
  000007       七维共振牛股 +119.54%
  002552       七维共振牛股 +119.24%
  000809        综合多信号 +118.49%
  002329        综合多信号 +118.40%
  000899        综合多信号 +118.16%
  300323       七维共振牛股 +117.85%
  002730       七维共振牛股 +117.42%
  003018       七维共振牛股 +117.16%
  002856       七维共振牛股 +117.10%
  002706       七维共振牛股 +115.94%
  000669       七维共振牛股 +115.68%
  002795       七维共振牛股 +114.80%
  300324       七维共振牛股 +113.79%
  002448       七维共振牛股 +113.11%
  000695       七维共振牛股 +111.17%
  002328       七维共振牛股 +110.99%
  002031       七维共振牛股 +110.63%
  001258        综合多信号 +110.15%
  002775       七维共振牛股 +109.95%
  002235       七维共振牛股 +108.66%
  001359       七维共振牛股 +107.81%
  000685       七维共振牛股 +107.68%
  300303       七维共振牛股 +107.06%
  002131       七维共振牛股 +106.93%
  003033       七维共振牛股 +106.50%
  300322       七维共振牛股 +105.37%
  002267        综合多信号 +104.56%
  300209       七维共振牛股 +104.38%
  002848       七维共振牛股 +104.23%
  002878        综合多信号 +103.66%
  300378       七维共振牛股 +103.44%
  002350       七维共振牛股 +103.42%
  002492        综合多信号 +103.13%
  002331        综合多信号 +103.06%
  002181       七维共振牛股 +102.99%
  002685       七维共振牛股 +102.93%
  002522       七维共振牛股 +102.71%
  300096       七维共振牛股 +100.58%
  300283       七维共振牛股 +100.45%
  000593       七维共振牛股  +99.80%
  001208       七维共振牛股  +99.49%
  000920       七维共振牛股  +99.34%
  300331       七维共振牛股  +99.06%
  002606       七维共振牛股  +98.60%
  002853       七维共振牛股  +98.60%
  002114       七维共振牛股  +98.55%
  000767       七维共振牛股  +98.32%
  002094       七维共振牛股  +98.27%
  300528       七维共振牛股  +98.26%
  002414       七维共振牛股  +97.91%
  002656       七维共振牛股  +97.23%
  300328       七维共振牛股  +96.98%
  300503       七维共振牛股  +96.56%
  002199       七维共振牛股  +96.40%
  300486       七维共振牛股  +94.85%
  002491       七维共振牛股  +94.28%
  002196       七维共振牛股  +94.19%
  000981       七维共振牛股  +93.91%
  002222       七维共振牛股  +92.84%
  300095        综合多信号  +92.77%
  002279        综合多信号  +92.47%
  002629       七维共振牛股  +92.44%
  000659       七维共振牛股  +92.27%
  002693       七维共振牛股  +92.27%
  000559       七维共振牛股  +92.03%
  300083       七维共振牛股  +91.71%
  002947       七维共振牛股  +91.65%
  000862       七维共振牛股  +91.57%
  300185       七维共振牛股  +91.55%
  002639       七维共振牛股  +91.52%
  000700       七维共振牛股  +90.69%
