name,trades,win_rate,return,annual_ret,max_dd,sharpe,exit_reasons
A_v3基线,45,62.2,14.87,10.1,-79.2,0.94,"sl:11,tp:21,ts:3,time:9,end:1"
B_SMA5<40清仓,57,,10.27,6.99,-77.9,0.91,be:56
C_SMA5<45清仓,57,,9.75,6.65,-77.9,0.9,be:56
D_SMA5<50清仓,67,,12.69,8.62,-77.0,0.78,be:67
E_SMA5<55清仓,67,,7.71,5.29,-48.1,0.44,be:67
F_紧止损-5pct,46,63.0,16.12,10.9,-79.2,0.94,"sl:13,tp:21,ts:3,time:8,end:1"
G_紧止损+6持仓,34,61.8,12.71,8.6,-62.9,0.68,"sl:10,tp:16,ts:2,time:5,end:1"
H_紧止损+4持仓,28,57.1,6.29,4.3,-52.0,0.6,"sl:9,tp:11,ts:2,time:5,end:1"
I_紧止损+2pct移动,46,63.0,13.88,9.4,-79.2,0.94,"sl:13,tp:16,ts:8,time:8,end:1"
J_紧止损+6持仓+2pct,35,62.9,9.99,6.8,-62.9,0.67,"sl:10,tp:11,ts:7,time:6,end:1"
