code,name,strategy,entry_date,exit_date,entry_price,exit_price,exit_reason,return_pct,hold_days,_shares
000833,粤桂股份,v4_multifactor,2025-01-02,2025-01-03,11.37,10.45,stop_loss,-8.091468777484609,1,8795
002583,海能达,v4_multifactor,2025-01-02,2025-01-03,14.54,13.12,stop_loss,-9.766162310866575,1,6877
601727,上海电气,v4_multifactor,2025-01-02,2025-01-06,7.62,6.99,stop_loss,-8.267716535433069,4,13123
002851,麦格米特,v4_multifactor,2025-01-02,2025-01-08,60.38,70.06,take_profit,16.031798608810863,6,1656
600839,四川长虹,v4_multifactor,2025-01-02,2025-01-10,9.29,8.52,stop_loss,-8.288482238966626,8,10764
300377,赢时胜,v4_multifactor,2025-01-06,2025-01-14,23.1,29.56,take_profit,27.965367965367953,8,1721
000506,招金黄金,v4_multifactor,2025-01-08,2025-01-15,3.62,4.24,take_profit,17.127071823204425,7,13090
000833,粤桂股份,v4_multifactor,2025-01-03,2025-01-20,10.45,12.94,take_profit,23.827751196172255,17,3658
603063,禾望电气,v4_multifactor,2025-01-14,2025-01-21,30.4,35.0,take_profit,15.131578947368427,7,1701
002131,利欧股份,v4_multifactor,2025-01-15,2025-01-21,4.04,3.63,stop_loss,-10.148514851485151,6,12897
300377,赢时胜,v4_multifactor,2025-01-21,2025-01-22,31.8,27.62,stop_loss,-13.144654088050315,1,1795
000981,山子高科,v4_multifactor,2025-01-21,2025-01-27,2.29,2.03,stop_loss,-11.353711790393023,6,24935
601127,赛力斯,v4_multifactor,2025-01-02,2025-02-05,128.54,127.5,time_stop,-0.8090866656293698,34,777
688660,电气风电,v4_multifactor,2025-01-03,2025-02-05,9.5,8.17,stop_loss,-14.000000000000002,33,4024
603268,松发股份,v4_multifactor,2025-01-10,2025-02-05,41.38,40.69,time_stop,-1.6674722087965315,26,1252
002131,利欧股份,v4_multifactor,2025-02-05,2025-02-11,4.0,4.71,take_profit,17.75,6,15966
600363,联创光电,v4_multifactor,2025-01-02,2025-02-13,46.8,53.84,take_profit,15.042735042735057,42,2136
300607,拓斯达,v4_multifactor,2025-01-20,2025-02-13,31.22,32.49,trailing_stop,4.067905188981432,24,1653
000833,粤桂股份,v4_multifactor,2025-01-22,2025-02-13,11.63,14.05,take_profit,20.808254514187443,22,4354
000981,山子高科,v4_multifactor,2025-01-27,2025-02-14,2.03,2.2,trailing_stop,8.37438423645322,18,24945
300251,光线传媒,v4_multifactor,2025-02-13,2025-02-14,28.94,34.73,take_profit,20.006910850034537,1,2418
300251,光线传媒,v4_multifactor,2025-02-14,2025-02-17,34.73,29.66,stop_loss,-14.598329974085797,3,1810
002131,利欧股份,v4_multifactor,2025-02-11,2025-02-18,4.71,4.24,stop_loss,-9.978768577494687,7,11088
600835,上海机电,v4_multifactor,2025-01-02,2025-02-20,17.12,21.16,take_profit,23.59813084112149,49,5841
000973,佛塑科技,v4_multifactor,2025-02-05,2025-02-20,5.66,6.77,take_profit,19.61130742049469,15,11283
688165,埃夫特,v4_multifactor,2025-02-13,2025-02-21,29.59,31.9,trailing_stop,7.806691449814123,8,2365
300251,光线传媒,v4_multifactor,2025-02-17,2025-02-24,29.66,27.09,stop_loss,-8.66486850977748,7,1877
603662,柯力传感,v4_multifactor,2025-02-18,2025-02-24,73.6,86.35,take_profit,17.32336956521739,6,744
688158,优刻得,v4_multifactor,2025-02-20,2025-02-24,36.8,32.62,stop_loss,-11.358695652173912,4,1884
688165,埃夫特,v4_multifactor,2025-02-21,2025-02-24,31.9,38.28,take_profit,20.00000000000001,3,1975
300251,光线传媒,v4_multifactor,2025-02-24,2025-02-25,27.09,24.48,stop_loss,-9.63455149501661,1,3024
002929,润建股份,v4_multifactor,2025-02-24,2025-02-25,70.95,64.99,stop_loss,-8.400281888653993,1,1154
600126,杭钢股份,v4_multifactor,2025-02-14,2025-02-26,11.14,13.38,take_profit,20.107719928186714,12,5645
002130,沃尔核材,v4_multifactor,2025-02-05,2025-02-27,22.98,24.78,trailing_stop,7.8328981723237625,22,2779
002031,巨轮智能,v4_multifactor,2025-02-20,2025-02-27,9.16,10.8,take_profit,17.903930131004373,7,7569
688332,中科蓝讯,v4_multifactor,2025-02-13,2025-02-28,122.69,110.0,stop_loss,-10.343141250305647,15,570
688165,埃夫特,v4_multifactor,2025-02-24,2025-02-28,38.28,32.95,stop_loss,-13.923719958202712,4,2140
688158,优刻得,v4_multifactor,2025-02-24,2025-02-28,32.62,35.3,trailing_stop,8.2158185162477,4,2511
002265,建设工业,v4_multifactor,2025-02-25,2025-02-28,26.4,23.8,stop_loss,-9.84848484848484,3,2426
300913,兆龙互连,v4_multifactor,2025-02-27,2025-02-28,57.68,52.65,stop_loss,-8.720527045769765,1,1178
688018,乐鑫科技,v4_multifactor,2025-02-26,2025-03-03,235.01,213.41,stop_loss,-9.191098251138248,5,250
002031,巨轮智能,v4_multifactor,2025-02-27,2025-03-03,10.8,9.9,stop_loss,-8.333333333333336,4,6296
688158,优刻得,v4_multifactor,2025-02-28,2025-03-03,35.3,30.7,stop_loss,-13.031161473087813,3,2508
000681,视觉中国,v4_multifactor,2025-02-28,2025-03-07,23.34,25.17,trailing_stop,7.840616966580985,7,3794
688165,埃夫特,v4_multifactor,2025-02-28,2025-03-13,32.95,29.11,stop_loss,-11.654021244309568,13,2687
688158,优刻得,v4_multifactor,2025-03-03,2025-03-13,30.7,28.09,stop_loss,-8.501628664495112,10,2070
300251,光线传媒,v4_multifactor,2025-02-25,2025-03-21,24.48,22.27,stop_loss,-9.027777777777782,24,2617
300548,长芯博创,v4_multifactor,2025-03-07,2025-03-24,43.5,39.89,stop_loss,-8.298850574712642,17,1242
301536,星宸科技,v4_multifactor,2025-03-03,2025-03-25,72.59,63.8,stop_loss,-12.109105937456958,22,875
600633,XD浙数文,v4_multifactor,2025-03-13,2025-03-25,14.67,13.38,stop_loss,-8.793456032719831,12,4245
002265,建设工业,v4_multifactor,2025-02-28,2025-03-26,23.8,22.28,time_stop,-6.386554621848737,26,3721
300913,兆龙互连,v4_multifactor,2025-02-28,2025-03-26,52.65,49.06,time_stop,-6.818613485280145,26,1682
600120,浙江东方,v4_multifactor,2025-03-13,2025-03-28,6.94,6.37,stop_loss,-8.21325648414986,15,8974
