date,equity
2025-01-02,1000000.0
2025-01-03,482355.2
2025-01-06,489845.47
2025-01-07,500533.7
2025-01-08,602914.76
2025-01-09,540442.2400000001
2025-01-10,573457.6700000002
2025-01-13,652543.7800000001
2025-01-14,521303.3400000001
2025-01-15,529781.6300000001
2025-01-16,473316.0600000001
2025-01-17,534711.4800000001
2025-01-20,611312.5300000001
2025-01-21,494794.92000000016
2025-01-22,492535.87000000017
2025-01-23,599591.0300000001
2025-01-24,605619.56
2025-01-27,537711.1800000002
2025-02-05,658235.1300000001
2025-02-06,601150.3100000003
2025-02-07,581787.1900000003
2025-02-10,590513.7100000003
2025-02-11,597566.2800000003
2025-02-12,670090.2200000003
2025-02-13,591103.8500000002
2025-02-14,524535.9300000002
2025-02-17,598605.4700000002
2025-02-18,659242.5500000002
2025-02-19,538811.9400000002
2025-02-20,600912.9900000001
2025-02-21,701262.9500000002
2025-02-24,622564.2400000002
2025-02-25,558696.6200000002
2025-02-26,627624.0800000001
2025-02-27,690112.1800000002
2025-02-28,706402.5100000002
2025-03-03,682317.5900000002
2025-03-04,481768.10000000015
2025-03-05,479512.6900000001
2025-03-06,480014.67000000016
2025-03-07,543651.0000000001
2025-03-10,557467.5100000001
2025-03-11,506756.99000000017
2025-03-12,652928.6600000003
2025-03-13,841969.0000000003
2025-03-14,595811.5900000003
2025-03-17,539579.1900000004
2025-03-18,486041.5600000004
2025-03-19,486701.21000000037
2025-03-20,482859.7400000004
2025-03-21,697017.0700000004
2025-03-24,602428.1600000004
2025-03-25,482558.63000000035
2025-03-26,543125.3600000005
2025-03-27,556049.1400000004
2025-03-28,653867.2700000004
2025-03-31,659107.9500000002
2025-04-01,608759.3600000003
2025-04-02,543438.2800000003
2025-04-03,592629.8500000003
2025-04-07,969406.6300000005
2025-04-08,969406.6300000005
2025-04-09,586141.4900000005
2025-04-10,418339.12000000046
2025-04-11,376443.88000000047
2025-04-14,386266.8200000005
2025-04-15,599920.4900000005
2025-04-16,484001.4900000005
2025-04-17,485814.3300000005
2025-04-18,576019.6400000005
2025-04-21,585797.2700000004
2025-04-22,530558.3900000004
2025-04-23,515253.5700000005
2025-04-24,579525.1100000005
2025-04-25,715944.5500000005
2025-04-28,564258.2200000006
2025-04-29,568201.6200000006
2025-04-30,519490.32000000065
2025-05-06,584016.1700000006
2025-05-07,705213.7200000006
2025-05-08,556434.7200000006
2025-05-09,563600.3400000005
2025-05-12,558465.5800000005
2025-05-13,642152.5400000006
2025-05-14,590907.7000000005
2025-05-15,586529.5600000005
2025-05-16,528907.1200000005
2025-05-19,531444.3700000005
2025-05-20,610303.8200000004
2025-05-21,551656.5100000004
2025-05-22,607410.8500000004
2025-05-23,665456.0700000003
2025-05-26,536518.9500000003
2025-05-27,592582.1700000004
2025-05-28,537286.2000000004
2025-05-29,666372.6100000005
2025-05-30,711824.0000000006
2025-06-03,575016.6200000006
2025-06-04,530238.7700000006
2025-06-05,591621.2900000006
2025-06-06,734536.7500000005
2025-06-09,649390.7700000005
2025-06-10,577605.4500000004
2025-06-11,523607.1700000004
2025-06-12,598280.2100000004
2025-06-13,664710.3900000004
2025-06-16,657525.3400000002
2025-06-17,583460.2900000003
2025-06-18,582719.1500000001
2025-06-19,585141.0100000002
2025-06-20,529030.3900000002
2025-06-23,656555.3400000003
2025-06-24,528986.7100000002
2025-06-25,523590.77000000025
2025-06-26,594888.7100000002
2025-06-27,710146.5800000001
2025-06-30,682853.2200000002
2025-07-01,483840.11000000016
2025-07-02,485061.6200000001
2025-07-03,554447.1000000001
2025-07-04,498953.7400000001
2025-07-07,573922.7100000001
2025-07-08,519390.7100000001
2025-07-09,598865.6400000001
2025-07-10,746147.1300000001
2025-07-11,522522.6500000001
2025-07-14,584268.3700000001
2025-07-15,537296.29
2025-07-16,601629.9900000001
2025-07-17,618332.04
2025-07-18,548945.87
2025-07-21,547779.1200000001
2025-07-22,600342.8700000001
2025-07-23,595295.3
2025-07-24,542100.68
2025-07-25,622547.1400000001
2025-07-28,624244.49
2025-07-29,678847.03
2025-07-30,546782.47
2025-07-31,595776.8999999999
2025-08-01,590292.5299999998
2025-08-04,590897.3799999999
2025-08-05,541785.3999999999
2025-08-06,625852.69
2025-08-07,631380.36
2025-08-08,634451.5
2025-08-11,642150.38
2025-08-12,758078.31
2025-08-13,549249.14
2025-08-14,595540.7300000001
2025-08-15,687503.8999999999
2025-08-18,796274.91
2025-08-19,552164.8099999998
2025-08-20,637077.32
2025-08-21,570523.7899999999
2025-08-22,655684.5099999999
2025-08-25,605936.8599999999
2025-08-26,604163.2299999999
2025-08-27,656863.7799999999
2025-08-28,755675.0699999998
2025-08-29,683509.6999999997
2025-09-01,622417.2299999997
2025-09-02,762710.4999999998
2025-09-03,667139.7899999998
2025-09-04,657313.8199999998
2025-09-05,747532.2199999997
2025-09-08,759810.1099999999
2025-09-09,738279.8799999999
2025-09-10,591765.46
2025-09-11,671039.71
2025-09-12,609420.8099999999
2025-09-15,760301.19
2025-09-16,781969.7699999999
2025-09-17,630678.9399999998
2025-09-18,768761.2699999998
2025-09-19,619551.8899999999
2025-09-22,761050.4699999999
2025-09-23,679587.5399999999
2025-09-24,690875.7299999999
2025-09-25,916779.2299999999
2025-09-26,533437.2999999998
2025-09-29,543775.3199999998
2025-09-30,695642.9399999997
2025-10-09,755424.8699999998
2025-10-10,656388.4799999999
2025-10-13,610640.9699999999
2025-10-14,764561.85
2025-10-15,781171.5199999999
2025-10-16,743980.48
2025-10-17,582297.4299999999
2025-10-20,736140.7699999999
2025-10-21,593168.4999999999
2025-10-22,726475.0799999998
2025-10-23,735214.0199999998
2025-10-24,686602.4599999997
2025-10-27,765301.1799999997
2025-10-28,609274.7499999997
2025-10-29,695927.9899999996
2025-10-30,620337.7099999997
2025-10-31,689414.0699999997
2025-11-03,927700.9299999997
2025-11-04,684451.9099999998
2025-11-05,560830.2599999998
2025-11-06,577592.8899999998
2025-11-07,644163.8199999998
2025-11-10,728665.7499999999
2025-11-11,582020.8099999998
2025-11-12,588799.7799999998
2025-11-13,660682.7299999999
2025-11-14,654267.6799999997
2025-11-17,662257.9399999997
2025-11-18,645931.4399999997
2025-11-19,744226.1099999998
2025-11-20,722771.0999999996
2025-11-21,815603.0799999998
2025-11-24,695800.1299999998
2025-11-25,688458.2099999998
2025-11-26,690124.5899999999
2025-11-27,719509.6399999998
2025-11-28,662490.3499999999
2025-12-01,589144.8399999999
2025-12-02,659805.5499999998
2025-12-03,675231.8999999998
2025-12-04,741677.8199999998
2025-12-05,664788.1399999998
2025-12-08,670076.2299999997
2025-12-09,734867.2899999998
2025-12-10,745346.2299999999
2025-12-11,725845.2599999998
2025-12-12,683497.1499999998
2025-12-15,615668.6899999998
2025-12-16,733742.3999999998
2025-12-17,677822.72
2025-12-18,601694.83
2025-12-19,605020.7
2025-12-22,621269.1299999999
2025-12-23,699362.9199999998
2025-12-24,643062.3699999999
2025-12-25,645441.4599999998
2025-12-26,796382.5699999998
2025-12-29,703696.2499999999
2025-12-30,770019.1099999999
2025-12-31,690898.8199999998
2026-01-05,712454.8799999998
2026-01-06,725630.1299999998
2026-01-07,814846.5499999997
2026-01-08,652765.1699999997
2026-01-09,803957.1099999996
2026-01-12,810530.3199999996
2026-01-13,648538.2299999995
2026-01-14,709034.5099999995
2026-01-15,721622.8699999995
2026-01-16,807856.8099999996
2026-01-19,660406.0499999997
2026-01-20,740124.9799999997
2026-01-21,670442.4999999997
2026-01-22,676437.1399999997
2026-01-23,837681.3899999998
2026-01-26,815579.7799999996
2026-01-27,742477.6099999998
2026-01-28,752958.1899999997
2026-01-29,911410.6899999998
2026-01-30,724733.3199999998
2026-02-02,925537.7299999999
2026-02-03,746791.1599999999
2026-02-04,774258.0599999999
2026-02-05,676392.5099999999
2026-02-06,764838.1799999999
2026-02-09,699807.1199999999
2026-02-10,628616.9499999998
2026-02-11,699036.7899999999
2026-02-12,886593.0999999999
2026-02-13,778271.2599999999
2026-02-24,623189.6699999999
2026-02-25,627196.0299999999
2026-02-26,727166.6099999999
2026-02-27,836100.7799999999
2026-03-02,756184.73
2026-03-03,1009557.5800000001
2026-03-04,495276.4800000001
2026-03-05,588979.9800000001
2026-03-06,536706.5600000002
2026-03-09,983446.8500000002
2026-03-10,595082.6300000004
2026-03-11,636549.3300000004
2026-03-12,632297.3800000005
2026-03-13,560769.2800000005
2026-03-16,744037.2300000004
2026-03-17,857792.9600000005
2026-03-18,514997.6100000005
2026-03-19,676474.0900000004
2026-03-20,539213.4200000004
2026-03-23,1094924.6300000004
2026-03-24,679795.6500000004
2026-03-25,704160.6100000003
2026-03-26,625804.5100000002
2026-03-27,569778.7800000003
2026-03-30,643842.7200000002
2026-03-31,847801.6700000003
2026-04-01,604390.2600000002
2026-04-02,599358.2900000003
2026-04-03,721911.3400000003
2026-04-07,715047.9100000001
2026-04-08,742784.0700000001
2026-04-09,678084.39
2026-04-10,675450.3500000001
2026-04-13,851740.9600000001
2026-04-14,676392.66
2026-04-15,597409.98
2026-04-16,614342.06
2026-04-17,861359.3500000002
2026-04-20,608710.3300000001
2026-04-21,707344.67
2026-04-22,649069.9100000001
2026-04-23,811879.5700000001
2026-04-24,655549.32
2026-04-27,873407.76
2026-04-28,698602.41
2026-04-29,715387.2200000001
2026-04-30,641964.5
2026-05-06,735786.85
2026-05-07,722324.27
2026-05-08,727059.91
2026-05-11,661285.0299999999
2026-05-12,893785.9599999998
2026-05-13,620194.5999999999
2026-05-14,857664.0199999998
2026-05-15,775152.3199999998
2026-05-18,1016484.0199999999
2026-05-19,817768.5399999998
2026-05-20,645831.9999999999
2026-05-21,646925.4699999999
2026-05-22,847996.1599999999
2026-05-25,836738.1499999999
2026-05-26,659347.0199999999
2026-05-27,789651.7399999999
2026-05-28,898837.0499999998
2026-05-29,871287.3299999998
2026-06-01,1137744.6699999997
2026-06-02,910873.6499999998
2026-06-03,736809.4199999997
2026-06-04,601368.9699999997
2026-06-05,638980.4099999998
2026-06-08,749075.1699999997
2026-06-09,866130.6399999997
2026-06-10,671140.9699999997
2026-06-11,763657.2999999997
2026-06-12,761122.3399999997
