code,name,strategy,entry_date,exit_date,entry_price,exit_price,exit_reason,return_pct,hold_days,_shares
688192,迪哲医药,v3_reversal,2025-01-08,2025-02-11,38.21,41.4,trailing_stop,8.348599842973039,34,2617
600246,万通发展,v3_reversal,2025-02-06,2025-02-19,5.33,6.2,take_profit,16.322701688555348,13,16885
300671,富满微,v3_reversal,2025-04-01,2025-04-07,27.77,23.1,stop_loss,-16.816708678429954,6,3315
688660,电气风电,v3_reversal,2025-04-08,2025-04-24,6.25,7.97,take_profit,27.519999999999996,16,14484
300913,兆龙互连,v3_reversal,2025-04-08,2025-04-28,39.56,46.13,take_profit,16.60768452982811,20,2288
300390,天华新能,v3_reversal,2025-04-08,2025-04-29,18.1,17.9,time_stop,-1.1049723756906233,21,5001
300474,景嘉微,v3_reversal,2025-04-08,2025-04-29,67.5,67.22,time_stop,-0.41481481481481647,21,1341
300496,中科创达,v3_reversal,2025-04-08,2025-04-30,47.62,55.39,take_profit,16.316673666526675,22,1900
300257,开山股份,v3_reversal,2025-04-08,2025-05-08,7.96,10.01,take_profit,25.753768844221103,30,11372
300769,德方纳米,v3_reversal,2025-04-08,2025-05-16,26.08,28.8,trailing_stop,10.429447852760747,38,3471
002563,森马服饰,v3_reversal,2025-05-06,2025-05-27,5.73,5.44,time_stop,-5.06108202443281,21,13569
300953,震裕科技,v3_reversal,2025-06-05,2025-06-17,101.6,94.38,stop_loss,-7.106299212598424,12,612
002916,深南电路,v3_reversal,2025-06-03,2025-06-18,86.19,103.6,take_profit,20.19955911358626,15,1031
603360,百傲化学,v3_reversal,2025-05-30,2025-06-20,19.76,19.73,time_stop,-0.15182186234818387,21,4996
688300,联瑞新材,v3_reversal,2025-06-03,2025-06-23,38.74,44.65,take_profit,15.255549819308198,20,2293
301165,锐捷网络,v3_reversal,2025-06-05,2025-06-26,50.83,61.01,take_profit,20.02754278969113,21,1223
688372,伟测科技,v3_reversal,2025-06-19,2025-07-01,53.1,58.69,trailing_stop,10.527306967984927,12,1037
603737,三棵树,v3_reversal,2025-06-03,2025-07-07,33.19,38.46,take_profit,15.878276589334147,34,2677
688059,华锐精密,v3_reversal,2025-06-30,2025-07-07,46.76,43.19,stop_loss,-7.634730538922156,7,1386
600863,华能蒙电,v3_reversal,2025-02-25,2025-07-21,3.78,4.35,take_profit,15.079365079365076,146,27064
603613,国联股份,v3_reversal,2025-06-23,2025-07-25,21.22,24.5,take_profit,15.457115928369468,32,3003
688378,奥来德,v3_reversal,2025-06-20,2025-07-29,15.84,18.27,take_profit,15.340909090909088,39,3752
688120,华海清科,v3_reversal,2025-07-04,2025-07-30,112.15,114.37,time_stop,1.9794917521176987,26,574
688766,普冉股份,v3_reversal,2025-06-05,2025-07-31,59.38,69.89,take_profit,17.699562142135395,56,1047
603283,赛腾股份,v3_reversal,2025-06-17,2025-08-01,30.68,37.89,take_profit,23.500651890482402,45,1608
603505,金石资源,v3_reversal,2025-07-18,2025-08-08,15.87,15.91,time_stop,0.2520478890989346,21,4679
300723,一品红,v3_reversal,2025-12-18,2026-01-13,34.72,42.65,take_profit,22.839861751152075,26,3463
603358,华达科技,v3_reversal,2026-03-27,2026-04-01,30.3,36.01,take_profit,18.844884488448834,5,2922
002552,宝鼎科技,v3_reversal,2026-03-24,2026-04-10,15.73,18.42,take_profit,17.10108073744438,17,7037
601100,恒立液压,v3_reversal,2026-03-24,2026-04-16,93.0,107.0,take_profit,15.053763440860216,23,1190
603799,华友钴业,v3_reversal,2026-03-20,2026-04-17,57.41,66.21,take_profit,15.328340010451136,28,2142
300779,惠城环保,v3_reversal,2026-04-27,2026-05-15,73.66,67.95,stop_loss,-7.751832745044792,18,1766
603596,伯特利,v3_reversal,2026-05-13,2026-05-20,32.86,30.43,stop_loss,-7.395009129640901,7,3563
603899,晨光股份,v3_reversal,2026-05-19,2026-05-21,22.76,21.14,stop_loss,-7.117750439367315,2,4643
002595,豪迈科技,v3_reversal,2026-05-13,2026-05-25,59.79,55.57,stop_loss,-7.058036460946644,12,1958
603606,东方电缆,v3_reversal,2026-05-29,2026-06-04,44.7,41.15,stop_loss,-7.941834451901575,6,2597
605499,东鹏饮料,v3_reversal,2026-05-19,2026-06-05,145.61,134.39,stop_loss,-7.705514731131122,17,725
002335,科华数据,v3_reversal,2026-06-02,2026-06-08,40.86,36.01,stop_loss,-11.869799314733239,6,2301
605507,国邦医药,v3_reversal,2026-06-01,2026-06-12,15.83,16.18,end,2.210991787744786,11,6600
